Cochlearia_excelsa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
g25713	484	AT4G23320.3, AT4G23290.2, AT4G23240.1, AT4G11460.1, AT4G23260.1, AT4G23250.2, AT4G11470.2, AT4G11480.1	AT4G11480.1	other	GO:0004674;GO:0005576;GO:0042742;GO:0007165;GO:0009626;GO:0005886;GO:0005739;GO:0016301;GO:0009737;GO:0008150;GO:0005575;GO:0046777;GO:0004672;GO:0009793;GO:0005829;GO:0005524;GO:0016020;GO:0106310;GO:0006950;GO:0006979;GO:0006468;GO:0004713	Cysteine-rich RLK (RECEPTOR-like protein kinase) 16;Cysteine-rich RLK (RECEPTOR-like protein kinase) 18;Cysteine-rich RLK (RECEPTOR-like protein kinase) 24;Cysteine-rich RLK (RECEPTOR-like protein kinase) 30;Cysteine-rich RLK (RECEPTOR-like protein kinase) 31;Cysteine-rich RLK (RECEPTOR-like protein kinase) 32;Cysteine-rich receptor-like protein kinase 17;Cysteine-rich receptor-like protein kinase 17 (Cysteine-rich RLK17) (EC 2.7.11.-) (Protein EMBRYO DEFECTIVE 1290);Cysteine-rich receptor-like protein kinase 18 (Cysteine-rich RLK18) (EC 2.7.11.-);Cysteine-rich receptor-like protein kinase 21 (Cysteine-rich RLK21) (EC 2.7.11.-);Cysteine-rich receptor-like protein kinase 24 (Cysteine-rich RLK24) (EC 2.7.11.-);Putative cysteine-rich receptor-like protein kinase 16 (Cysteine-rich RLK16) (EC 2.7.11.-);Putative cysteine-rich receptor-like protein kinase 30 (Cysteine-rich RLK30) (EC 2.7.11.-);Putative cysteine-rich receptor-like protein kinase 31 (Cysteine-rich RLK31) (EC 2.7.11.-);Putative cysteine-rich receptor-like protein kinase 32 (Cysteine-rich RLK32) (EC 2.7.11.-)
g25714	299					
g25715	227	AT4G11530.1, AT4G11521.1, AT4G23220.1, AT4G23190.1, AT4G23300.1, AT4G23210.3	AT4G23220.1	other	GO:0004674;GO:0009626;GO:0005886;GO:0042742;GO:0007165;GO:0016301;GO:0009507;GO:0005576;GO:0003674;GO:0004672;GO:0002237;GO:0005829;GO:0005634;GO:0016020;GO:0006979;GO:0002229;GO:0005524;GO:0030246;GO:0106310;GO:0006950;GO:0009751	Cysteine-rich RLK (RECEPTOR-like protein kinase) 11;Cysteine-rich RLK (RECEPTOR-like protein kinase) 34;Cysteine-rich receptor-like protein kinase 11 (Cysteine-rich RLK11) (EC 2.7.11.-) (Receptor-like protein kinase 3);Cysteine-rich receptor-like protein kinase 13 (Cysteine-rich RLK13) (EC 2.7.11.-);Cysteine-rich receptor-like protein kinase 14 (Cysteine-rich RLK14) (EC 2.7.11.-);Cysteine-rich receptor-like protein kinase 22 (Cysteine-rich RLK22) (EC 2.7.11.-);Cysteine-rich receptor-like protein kinase 34 (Cysteine-rich RLK34) (EC 2.7.11.1);Putative cysteine-rich receptor-like protein kinase At4g11521 (Cysteine-rich RLK At4g11521);non-specific serine/threonine protein kinase (EC 2.7.11.1)
g25716	247	AT4G23280.1, AT4G11530.1	AT4G23280.1	other	GO:0004674;GO:0009626;GO:0005886;GO:0042742;GO:0016301;GO:0007165;GO:0009507;GO:0009751;GO:0005576;GO:0012501;GO:0006952;GO:0005524;GO:0106310;GO:0006950;GO:0016020;GO:0006468;GO:0004672	Cysteine-rich RLK (RECEPTOR-like protein kinase) 20;Cysteine-rich RLK (RECEPTOR-like protein kinase) 34;Cysteine-rich receptor-like protein kinase 34 (Cysteine-rich RLK34) (EC 2.7.11.1);Putative cysteine-rich receptor-like protein kinase 20 (Cysteine-rich RLK20) (EC 2.7.11.-)
g25717	606	AT4G23320.3, AT4G23290.2, AT4G23240.1, AT4G11460.1, AT4G23260.1, AT4G23250.2, AT4G11470.2, AT4G11480.1	AT4G11480.1	other	GO:0004674;GO:0005576;GO:0042742;GO:0007165;GO:0009626;GO:0005886;GO:0005739;GO:0016301;GO:0009737;GO:0008150;GO:0005575;GO:0046777;GO:0004672;GO:0009793;GO:0005829;GO:0005524;GO:0016020;GO:0106310;GO:0006950;GO:0006979;GO:0006468	Cysteine-rich RLK (RECEPTOR-like protein kinase) 16;Cysteine-rich RLK (RECEPTOR-like protein kinase) 18;Cysteine-rich RLK (RECEPTOR-like protein kinase) 24;Cysteine-rich RLK (RECEPTOR-like protein kinase) 30;Cysteine-rich RLK (RECEPTOR-like protein kinase) 31;Cysteine-rich RLK (RECEPTOR-like protein kinase) 32;Cysteine-rich receptor-like protein kinase 17;Cysteine-rich receptor-like protein kinase 17 (Cysteine-rich RLK17) (EC 2.7.11.-) (Protein EMBRYO DEFECTIVE 1290);Cysteine-rich receptor-like protein kinase 18 (Cysteine-rich RLK18) (EC 2.7.11.-);Cysteine-rich receptor-like protein kinase 21 (Cysteine-rich RLK21) (EC 2.7.11.-);Cysteine-rich receptor-like protein kinase 24 (Cysteine-rich RLK24) (EC 2.7.11.-);Putative cysteine-rich receptor-like protein kinase 16 (Cysteine-rich RLK16) (EC 2.7.11.-);Putative cysteine-rich receptor-like protein kinase 30 (Cysteine-rich RLK30) (EC 2.7.11.-);Putative cysteine-rich receptor-like protein kinase 31 (Cysteine-rich RLK31) (EC 2.7.11.-);Putative cysteine-rich receptor-like protein kinase 32 (Cysteine-rich RLK32) (EC 2.7.11.-)
g25718	1333				GO:0003676;GO:0008270;GO:0015074	
g25719	189				GO:0001732;GO:0002188;GO:0003729;GO:0003743;GO:0005852;GO:0043614;GO:0071540;GO:0071541	
g2572	267	AT3G50410.1	AT3G50410.1	orthologue	GO:0003677;GO:0000976;GO:0009751;GO:0005634;GO:0045893;GO:0045787;GO:0042545;GO:0003700;GO:0005515;GO:0009733;GO:0008270;GO:0006355	Dof zinc finger protein DOF3.4 (AtDOF3.4) (OBF-binding protein 1)
g25720	664	AT4G11530.1, AT4G11521.1, AT4G23220.1, AT4G23190.1, AT4G23300.1, AT4G23210.3	AT4G11530.1	other	GO:0004674;GO:0009626;GO:0005886;GO:0042742;GO:0007165;GO:0016301;GO:0009507;GO:0005576;GO:0003674;GO:0004672;GO:0002237;GO:0005829;GO:0005634;GO:0016020;GO:0006979;GO:0002229;GO:0005524;GO:0030246;GO:0106310;GO:0006950;GO:0009751;GO:0006468	Cysteine-rich RLK (RECEPTOR-like protein kinase) 11;Cysteine-rich RLK (RECEPTOR-like protein kinase) 34;Cysteine-rich receptor-like protein kinase 11 (Cysteine-rich RLK11) (EC 2.7.11.-) (Receptor-like protein kinase 3);Cysteine-rich receptor-like protein kinase 13 (Cysteine-rich RLK13) (EC 2.7.11.-);Cysteine-rich receptor-like protein kinase 14 (Cysteine-rich RLK14) (EC 2.7.11.-);Cysteine-rich receptor-like protein kinase 22 (Cysteine-rich RLK22) (EC 2.7.11.-);Cysteine-rich receptor-like protein kinase 34 (Cysteine-rich RLK34) (EC 2.7.11.1);Putative cysteine-rich receptor-like protein kinase At4g11521 (Cysteine-rich RLK At4g11521);non-specific serine/threonine protein kinase (EC 2.7.11.1)
g25721	242				GO:0003677;GO:0006355;GO:0009725	
g25722	326	AT4G11290.1	AT4G11290.1	orthologue	GO:0005576;GO:0009505;GO:0099503;GO:0140825;GO:0004601;GO:0020037;GO:0006950;GO:0006979;GO:0042744;GO:0046872	Peroxidase 39 (Atperox P39) (EC 1.11.1.7) (ATP19a)
g25723	670	AT4G23320.3, AT4G23290.2, AT4G23240.1, AT4G11460.1, AT4G23260.1, AT4G23250.2, AT4G11470.2, AT4G11480.1	AT4G11480.1	other	GO:0004674;GO:0005576;GO:0042742;GO:0007165;GO:0009626;GO:0005886;GO:0005739;GO:0016301;GO:0009737;GO:0008150;GO:0005575;GO:0046777;GO:0004672;GO:0009793;GO:0005829;GO:0005524;GO:0016020;GO:0106310;GO:0006950;GO:0006979;GO:0006468	Cysteine-rich RLK (RECEPTOR-like protein kinase) 16;Cysteine-rich RLK (RECEPTOR-like protein kinase) 18;Cysteine-rich RLK (RECEPTOR-like protein kinase) 24;Cysteine-rich RLK (RECEPTOR-like protein kinase) 30;Cysteine-rich RLK (RECEPTOR-like protein kinase) 31;Cysteine-rich RLK (RECEPTOR-like protein kinase) 32;Cysteine-rich receptor-like protein kinase 17;Cysteine-rich receptor-like protein kinase 17 (Cysteine-rich RLK17) (EC 2.7.11.-) (Protein EMBRYO DEFECTIVE 1290);Cysteine-rich receptor-like protein kinase 18 (Cysteine-rich RLK18) (EC 2.7.11.-);Cysteine-rich receptor-like protein kinase 21 (Cysteine-rich RLK21) (EC 2.7.11.-);Cysteine-rich receptor-like protein kinase 24 (Cysteine-rich RLK24) (EC 2.7.11.-);Putative cysteine-rich receptor-like protein kinase 16 (Cysteine-rich RLK16) (EC 2.7.11.-);Putative cysteine-rich receptor-like protein kinase 30 (Cysteine-rich RLK30) (EC 2.7.11.-);Putative cysteine-rich receptor-like protein kinase 31 (Cysteine-rich RLK31) (EC 2.7.11.-);Putative cysteine-rich receptor-like protein kinase 32 (Cysteine-rich RLK32) (EC 2.7.11.-)
g25724	1596	AT4G11270.1	AT4G11270.1	orthologue	GO:0005737;GO:0003674;GO:0005634;GO:0005515	Transducin/WD40 repeat-like superfamily protein
g25725	228					
g25726	118	AT4G08430.1, AT5G28235.1	AT4G08430.1	other	GO:0005886;GO:0006508;GO:0008234;GO:0016929;GO:0016926;GO:0005634	F26C17.9 protein (Ulp1 protease family protein);Ulp1 protease family protein
g25727	511					
g25728	322	AT4G11240.1	AT4G11240.1	orthologue	GO:0004722;GO:0006470;GO:0017018;GO:0005634;GO:0005737;GO:0005739;GO:0046872;GO:0016787	Serine/threonine-protein phosphatase PP1 isozyme 6 (EC 3.1.3.16) (Type one protein phosphatase 6)
g25729	903	AT4G11230.1	AT4G11230.1	orthologue	GO:0050664;GO:0005886;GO:0006970;GO:0016174;GO:0004601;GO:0016020;GO:0046872;GO:0016491;GO:0005509	Probable respiratory burst oxidase homolog protein I (EC 1.11.1.-) (EC 1.6.3.-) (NADPH oxidase RBOHI) (AtRBOHI)
g2573	303					
g25730	259	AT1G66770.1	AT1G66770.1	orthologue	GO:0005515;GO:0051119;GO:0005886;GO:0051260;GO:0016020;GO:0008643	Bidirectional sugar transporter SWEET6 (AtSWEET6) (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 6)
g25731	531				GO:0003676;GO:0008270	
g25732	472				GO:0003676;GO:0015074	
g25733	250				GO:0003676	
g25734	187	AT4G11180.1, AT4G11190.1, AT4G11210.1	AT4G11210.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0009807;GO:0009699;GO:0048046	Dirigent protein 12 (AtDIR12);Dirigent protein 13 (AtDIR13);Dirigent protein 14 (AtDIR14)
g25735	187	AT4G11180.1, AT4G11190.1, AT4G11210.1	AT4G11210.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0009807;GO:0009699;GO:0048046	Dirigent protein 12 (AtDIR12);Dirigent protein 13 (AtDIR13);Dirigent protein 14 (AtDIR14)
g25736	1198	ATMG00860.1	ATMG00860.1	other	GO:0003674;GO:0005739;GO:0008150	Uncharacterized mitochondrial protein AtMg00860 (ORF158)
g25737	229					
g25738	337	ATMG00750.1	ATMG00750.1	other	GO:0005739;GO:0003674;GO:0008150;GO:0015074;GO:0003676	Uncharacterized mitochondrial protein AtMg00750 (ORF119)
g25739	327					
g2574	119					
g25740	404					
g25741	230	AT4G11150.1	AT4G11150.1	orthologue	GO:0009793;GO:0033178;GO:0005773;GO:0005774;GO:0000325;GO:0005794;GO:0046961;GO:0022626;GO:0009409;GO:0009705;GO:0007030;GO:0009832;GO:0005829;GO:0003735;GO:1902600	V-type proton ATPase subunit E1 (V-ATPase subunit E1) (Protein EMBRYO DEFECTIVE 2448) (Vacuolar H(+)-ATPase subunit E isoform 1) (Vacuolar proton pump subunit E1)
g25742	819				GO:0003676;GO:0015074	
g25743	206					
g25744	183					
g25745	629				GO:0003676	
g25746	392				GO:0003676;GO:0008270	
g25747	1123	AT4G11130.1	AT4G11130.1	orthologue	GO:0005515;GO:0030422;GO:0003968;GO:0050832;GO:0010495;GO:0005730;GO:0071667;GO:0140745;GO:0005634;GO:0031380;GO:0003727;GO:0005654;GO:0046872;GO:0003723;GO:0003676	RNA-dependent RNA polymerase 2 (AtRDRP2) (EC 2.7.7.48) (Protein SILENCING MOVEMENT DEFICIENT 1) (RNA-directed RNA polymerase 2)
g25748	288	AT4G20330.1	AT4G20330.1	other	GO:0006367;GO:0005673;GO:0001097;GO:0005634;GO:0003677	Transcription initiation factor IIE subunit beta
g25749	424	AT4G11100.1	AT4G11100.1	orthologue	GO:0005737;GO:0003674	Gelsolin protein
g2575	127					
g25750	69	AT3G31925.1	AT3G31925.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0003677	Replication protein A 70 kDa DNA-binding subunit B-like protein
g25751	245	AT1G52950.1	AT1G52950.1	orthologue	GO:0051321;GO:0007004;GO:0009506;GO:0006281;GO:0000724;GO:0005634;GO:0043047;GO:0003684;GO:0006310;GO:0005662;GO:0006289;GO:0006260;GO:0008270	Nucleic acid-binding, OB-fold-like protein (Putative replication protein; 94555-97079)
g25752	666	AT4G11030.1	AT4G11030.1	orthologue	GO:0004467;GO:0006633;GO:0005783;GO:0006631;GO:0016020;GO:0009507;GO:0005524	Long chain acyl-CoA synthetase 5 (EC 6.2.1.3)
g25753	187	AT3G22840.1	AT3G22840.1	other	GO:0071486;GO:0010380;GO:0009535;GO:0071490;GO:0009409;GO:0071483;GO:0071491;GO:0010030;GO:0071492;GO:0010117;GO:0034605;GO:0003674;GO:0009507;GO:0009416;GO:0009522;GO:0009523;GO:0015979	Early light-induced protein 1, chloroplastic
g25754	203					
g25755	309					
g25756	80					
g25757	832	AT1G79460.1	AT1G79460.1	orthologue	GO:0000287;GO:0009507;GO:0009740;GO:0009686;GO:0009570;GO:0009536;GO:0009899;GO:0010333;GO:0016829;GO:0016102;GO:0016114	Ent-kaur-16-ene synthase, chloroplastic (EC 4.2.3.19) (Ent-kaurene synthase) (AtKS) (Ent-kaurene synthase B) (KSB) (Protein GA REQUIRING 2)
g25758	148					
g25759	366				GO:0003676;GO:0004523	
g2576	479				GO:0003676;GO:0015074	
g25760	179					
g25761	100				GO:0015074;GO:0003676	
g25762	230					
g25763	377	AT4G10955.1	AT4G10955.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:0016042;GO:0016787;GO:0006629	GDSL esterase/lipase At4g10955 (EC 3.1.1.-)
g25764	412	AT4G10950.2	AT4G10950.2	orthologue	GO:0005576;GO:0005737;GO:0016788;GO:0009555;GO:0016787;GO:0016042	SGNH hydrolase-type esterase superfamily protein
g25765	390	AT4G10890.1	AT4G10890.1	orthologue	GO:0003674;GO:0005575;GO:0004519;GO:0046872;GO:0005634;GO:0006302;GO:0035861	DDE family endonuclease
g25766	230	AT1G66770.1	AT1G66770.1	orthologue	GO:0005515;GO:0051119;GO:0005886;GO:0051260;GO:0016020;GO:0008643	Bidirectional sugar transporter SWEET6 (AtSWEET6) (Protein SUGARS WILL EVENTUALLY BE EXPORTED TRANSPORTERS 6)
g25767	271					
g25768	313					
g25769	587					
g2577	234				GO:0015074;GO:0003676	
g25770	380					
g25771	470	AT5G49690.1	AT5G49690.1	orthologue	GO:0008194;GO:0035251;GO:0005515;GO:0016757;GO:0005575	UDP-glycosyltransferase 91C1 (EC 2.4.1.-)
g25772	91	AT5G16550.1	AT5G16550.1	other	GO:0005783;GO:0005811;GO:0005634;GO:0140042;GO:0005515;GO:0016020	Voltage-dependent L-type calcium channel subunit
g25773	85	AT4G10810.1	AT4G10810.1	orthologue	GO:0005634;GO:0003674	Uncharacterized protein At4g10810 (Uncharacterized protein F25I24.20)
g25774	211					
g25775	275					
g25776	741	AT4G10770.1	AT4G10770.1	orthologue	GO:0035673;GO:0006857;GO:0016020;GO:0005886;GO:0015031;GO:0055085	Oligopeptide transporter 7;Oligopeptide transporter 7 (AtOPT7)
g25777	949					
g25778	342					
g25779	654				GO:0015074;GO:0003676;GO:0004523	
g2578	98					
g25780	1132	AT4G10670.1	AT4G10670.1	orthologue	GO:0003674;GO:0005634;GO:0008150;GO:0006260;GO:0006281;GO:0035101;GO:0006368;GO:0031491	FACT complex subunit
g25781	496	AT4G24140.1	AT4G24140.1	other	GO:0003674;GO:0005737;GO:0005576;GO:0005886;GO:0016787;GO:0071555	Probable lysophospholipase BODYGUARD 3 (AtBDG3) (EC 3.1.1.-)
g25782	266	AT4G10360.1	AT4G10360.1	orthologue	GO:0005783;GO:0003674;GO:0055088;GO:0016020	AT4G10360 protein (AT4g10360/F24G24_160) (TRAM, LAG1 and CLN8 (TLC) lipid-sensing domain containing protein)
g25783	439	AT4G10310.1	AT4G10310.1	other	GO:0015079;GO:0006970;GO:0009651;GO:0015081;GO:0006813;GO:0006814;GO:0071805;GO:0005886;GO:0005739;GO:0006812;GO:0008324;GO:0055085	Sodium transporter HKT1 (AtHKT1)
g25784	341					
g25785	500					
g25786	459					
g25787	372	ATMG00810.1	ATMG00810.1	other	GO:0008150;GO:0003674;GO:0005575;GO:0005739	Uncharacterized mitochondrial protein AtMg00810 (ORF240b)
g25788	450				GO:0043231;GO:0043813;GO:0046856	
g25789	136					
g2579	202					
g25790	406				GO:0003676	
g25791	132					
g25792	510					
g25793	262					
g25794	531					
g25795	838					
g25796	365					
g25797	299					
g25798	97					
g25799	1147				GO:0003676;GO:0004523;GO:0015074	
g258	411	AT5G64020.1	AT5G64020.1	orthologue	GO:0016407;GO:1990937;GO:0045492;GO:0016740;GO:0008374;GO:0010411;GO:0009834;GO:0005794;GO:0016020;GO:0005975	Protein trichome birefringence-like 14
g2580	404	AT1G57565.1, AT1G57580.1	AT1G57580.1	orthologue	GO:0003674;GO:0008150;GO:0005575;GO:0005634;;GO:0005515	Putative F-box protein At1g57580;SWI-SNF-related chromatin binding protein
g25800	435					
g25801	607	ATMG00750.1	ATMG00750.1	other	GO:0005739;GO:0003674;GO:0008150	Uncharacterized mitochondrial protein AtMg00750 (ORF119)
g25802	241					
g25803	310				GO:0003676;GO:0008270	
g25804	644				GO:0003676;GO:0015074	
g25805	301					
g25806	390					
g25807	615					
g25808	73					
g25809	172					
g2581	3097	AT3G50380.2	AT3G50380.2	orthologue	GO:0005794;GO:0006623;GO:0005886;GO:0045053;GO:0003674	Vacuolar protein sorting-associated protein, putative (DUF1162)
g25810	112					
g25811	401					
g25812	397					
g25813	294					
g25814	685					
g25815	1100				GO:0003676;GO:0015074	
g25816	203					
g25817	1086	ATMG00860.1	ATMG00860.1	other	GO:0003674;GO:0005739;GO:0008150;GO:0003676	Uncharacterized mitochondrial protein AtMg00860 (ORF158)
g25818	168					
g25819	99					
g2582	2223	AT3G50370.2	AT3G50370.2	orthologue	GO:0005737;GO:0003729;GO:0009507	Uncharacterized protein
g25820	492					
g25821	452					
g25822	339				GO:0015074;GO:0003676	
g25823	107					
g25824	94					
g25825	103					
g25826	168					
g25827	91					
g25828	342					
g25829	399					
g2583	168	AT3G50360.1	AT3G50360.1	orthologue	GO:0005509;GO:0005515;GO:0005886;GO:0005737;GO:0000226;GO:0005814;GO:0005634;GO:0005829;GO:1901527;GO:0016460	Probable calcium-binding protein CML20 (Calmodulin-like protein 20) (Centrin 1) (AtCEN1)
g25830	308					
g25831	308					
g25832	336				GO:0003676;GO:0008270	
g25833	651				GO:0015074;GO:0003676	
g25834	116					
g25835	666				GO:0015074;GO:0003676	
g25836	142	AT4G23160.2	AT4G23160.2	other	GO:0042742;GO:0004674;GO:0004672;GO:0009626;GO:0016301;GO:0005886;GO:0007165;GO:0005524;GO:0106310;GO:0016020	Cysteine-rich RECEPTOR-like kinase;Cysteine-rich receptor-like protein kinase 8 (Cysteine-rich RLK8) (EC 2.7.11.-)
g25837	136					
g25838	175	AT4G10110.1	AT4G10110.1	orthologue	GO:0008150;GO:0003674;GO:0062141;GO:0005634;GO:0003723;GO:0005654;GO:0003676	At4g10100 (RNA-binding (RRM/RBD/RNP motifs) family protein)
g25839	395	AT4G10030.1	AT4G10030.1	orthologue	GO:0008610;GO:0005575;GO:0004620;GO:0009409	Alpha/beta-Hydrolases superfamily protein
g2584	404	AT3G50340.1	AT3G50340.1	other	GO:0005634;GO:0003674	At3g50340
g25840	432	AT4G10020.1	AT4G10020.1	orthologue	GO:0005829;GO:0008150;GO:0016491;GO:0005576;GO:0006694;GO:0016020	11-beta-hydroxysteroid dehydrogenase-like 5 (EC 1.1.1.-) (17-beta-hydroxysteroid dehydrogenase-like 5) (EC 1.1.1.-) (Hydroxysteroid dehydrogenase 5) (AtHSD5)
g25841	442	AT3G55430.1, AT2G39640.1	AT2G39640.1	other	GO:0005975;GO:0005886;GO:0042973;GO:0005576;GO:0009505;GO:0009506;GO:0006952;GO:0098552;GO:0004553	glucan endo-1,3-beta-D-glucosidase (EC 3.2.1.39)
g25842	264	AT4G09970.1	AT4G09970.1	orthologue	GO:0007623;GO:0005634;GO:0003674;GO:0016020	At4g09970 (Transmembrane protein);Transmembrane protein
g25843	283	AT1G43640.1	AT1G43640.1	other	GO:0005634;GO:0003674;GO:0006355;GO:0009620	Tubby like protein 5;Tubby-like F-box protein 5 (AtTLP5)
g25844	206	AT4G09720.3	AT4G09720.3	orthologue	GO:0005774;GO:0000325;GO:0005829;GO:0005737;GO:0008150;GO:0003924;GO:0005525;GO:0005794;GO:0005886;GO:0015031;GO:0012505;GO:0016020	RAB GTPase homolog G3A;Ras-related protein RABG3a (AtRABG3a) (Ras-related protein Rab76) (AtRab76)
g25845	870	AT4G12770.1, AT4G12780.1	AT4G12770.1	orthologue	GO:0045806;GO:0045926;GO:0072318;GO:0005886;GO:1900186;GO:0043231;GO:0005634;GO:0072583;GO:0009504;GO:0031982;GO:0005829;GO:0030276;GO:0005737;GO:0005515;GO:0005783;GO:0005794;GO:0031410	Auxilin-related protein 1 (Auxilin-like protein 1);Auxilin-related protein 2;Chaperone DnaJ-domain superfamily protein
g25846	66	AT2G38995.2	AT2G38995.2	other	GO:0005634;GO:0008374;GO:0019432;GO:0045017;GO:0047196;GO:0004144;GO:0005886;GO:0005789	O-acyltransferase (WSD1-like) family protein;Wax ester synthase/diacylglycerol acyltransferase 3 (WS/DGAT 3) (Diacylglycerol O-acyltransferase WSD3) (EC 2.3.1.20) (Long-chain-alcohol O-fatty-acyltransferase WSD3) (EC 2.3.1.75)
g25847	109				GO:0005886;GO:0008374;GO:0019432;GO:0045017	
g25848	102	AT2G43255.2	AT2G43255.2	orthologue	GO:0045017;GO:0008374;GO:0005634;GO:0005886;GO:0019432	O-acyltransferase WSD1-like protein
g25849	442	AT2G43260.2, AT2G43270.1, AT2G43440.1, AT2G43445.1, AT4G17780.1	AT2G43260.2	other	GO:0003674;GO:0005575;GO:0005576;GO:0008150;GO:0005739;GO:0005634;GO:0016020;GO:0005515	F-box and associated interaction domains-containing protein;F-box protein At2g43440;F-box/LRR-repeat protein At2g43260;F-box/kelch-repeat protein At2g43270;F-box/kelch-repeat protein At2g43445;Putative F-box protein At4g17780
g2585	240	AT3G50330.1	AT3G50330.1	orthologue	GO:0005515;GO:0006355;GO:0048480;GO:0048462;GO:0048467;GO:0010500;GO:0003700;GO:0005634;GO:0080126;GO:0046983;GO:0009266;GO:0003677	Transcription factor HEC2 (Basic helix-loop-helix protein 37) (AtbHLH37) (bHLH 37) (Protein HECATE 2) (Transcription factor EN 117) (bHLH transcription factor bHLH037)
g25850	288	AT4G09580.1	AT4G09580.1	orthologue	GO:0000045;GO:0003674;GO:0008150;GO:0005783;GO:0016020	Uncharacterized membrane protein At4g09580
g25851	509	AT4G09570.1	AT4G09570.1	orthologue	GO:0005634;GO:0009931;GO:0004683;GO:0005737;GO:0005515;GO:0005509;GO:0009789;GO:0035556;GO:0004674;GO:0004672;GO:0005516;GO:0005886;GO:0005524;GO:0106310;GO:0006468	Calcium-dependent protein kinase 4 (EC 2.7.11.1) (Calmodulin-domain protein kinase CDPK isoform 4)
g25852	177					
g25853	174					
g25854	251	AT4G09350.1	AT4G09350.1	orthologue	GO:0009507;GO:0009535;GO:0010598;GO:0003674;GO:0048038	NAD(P)H-quinone oxidoreductase subunit T, chloroplastic (EC 7.1.1.-) (DNA J PROTEIN C75) (NAD(P)H dehydrogenase subunit T) (NDH subunit T) (NADH-plastoquinone oxidoreductase subunit T) (Protein CHLORORESPIRATORY REDUCTION J)
g25855	165	AT2G13770.1	AT2G13770.1	other	GO:0008150;GO:0005575;GO:0003674	Nuclease
g25856	210					
g25857	71	AT5G04750.1	AT5G04750.1	orthologue	GO:0042030;GO:0005886;GO:0005739;GO:0045271;GO:0009507	At5g04750 (F1F0-ATPase inhibitor protein) (F1F0-ATPase inhibitor-like protein);F1F0-ATPase inhibitor protein
g25858	225	AT2G35360.1	AT2G35360.1	orthologue	GO:0005634;GO:0003674;GO:0016020;GO:0005515	Ubiquitin family protein
g25859	166	AT2G35340.1	AT2G35340.1	other	GO:0009793;GO:0016887;GO:0005634;GO:0004386;GO:0003724;GO:0003723;GO:0005524;GO:0005681;GO:0006397;GO:0008380	Probable pre-mRNA-splicing factor ATP-dependent RNA helicase DEAH6 (EC 3.6.4.13) (DEAH RNA helicase homolog PRP2) (Protein MATERNAL EFFECT EMBRYO ARREST 29);RNA helicase (EC 3.6.4.13) (DEAH RNA helicase homolog PRP2)
