Capsella_rubella	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_006285718.1	642	AT4G31120.1	AT4G31120.1	orthologue	GO:0035242;GO:0008469;GO:0005737;GO:0009909;GO:0008276;GO:0005634;GO:0006355;GO:0016274;GO:0010220;GO:0005829;GO:0006325;GO:0032259;GO:0006479;GO:0008168;GO:0035246;GO:0018216	Protein arginine N-methyltransferase 1.5 (AtPMRT15) (AtPMRT5) (EC 2.1.1.319) (Shk1 kinase-binding protein 1 homolog)
XP_006285719.2	644	AT4G27340.1	AT4G27340.1	orthologue	GO:0002939;GO:0009507;GO:0005737;GO:0052906;GO:0102522;GO:0008175;GO:0005634;GO:0005759;GO:0030488;GO:0070901;GO:0005739;GO:0008168;GO:0009019	Met-10+ like family protein;tRNA (guanine(37)-N(1))-methyltransferase 2 (EC 2.1.1.228) (M1G-methyltransferase 2) (tRNA [GM37] methyltransferase 2) (tRNA methyltransferase 5 homolog 2);tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5 homolog)
XP_006285720.1	222	AT4G30630.1	AT4G30630.1	orthologue	GO:0031011;GO:0003674;GO:0008150	At4g30630;Uncharacterized protein
XP_006285721.1	970	AT4G23440.1	AT4G23440.1	orthologue	GO:0000725;GO:0043531;GO:0007165;GO:0005634	Disease resistance protein (TIR-NBS class)
XP_006285722.1	419	AT4G19940.1	AT4G19940.1	orthologue	GO:0003674;GO:0005739;GO:0008150;;GO:0005515	F-box protein At4g19940
XP_006285723.1	395	AT4G13345.4	AT4G13345.4	orthologue	GO:0009793;GO:0016020;GO:0003674;GO:0005739	Serinc-domain containing serine and sphingolipid biosynthesis protein
XP_006285724.1	423	AT4G19000.1	AT4G19000.1	orthologue	GO:0009742;GO:0032784;GO:0005515;GO:0005634;GO:0003746	Protein IWS1 homolog 2 (AtIWS2);Transcription elongation factor (TFIIS) family protein
XP_006285725.1	681	AT4G37950.1	AT4G37950.1	orthologue	GO:0005576;GO:0102210;GO:0016829;GO:0030246;GO:0005975;GO:0003824	rhamnogalacturonan endolyase (EC 4.2.2.23)
XP_006285729.1	407	AT4G36945.1	AT4G36945.1	orthologue	GO:0008081;GO:0005886;GO:0006629	PLC-like phosphodiesterases superfamily protein
XP_006285730.1	1088	AT4G21100.1	AT4G21100.1	orthologue	GO:0005515;GO:0005634;GO:0005829;GO:0016567;GO:0003684;GO:0009793;GO:0003677;GO:0006281;GO:0009585;GO:0003676	DNA damage-binding protein 1b (UV-damaged DNA-binding protein 1b) (DDB1b)
XP_006285731.1	470	AT4G16440.1	AT4G16440.1	orthologue	GO:0003674;GO:0005829;GO:0070482;GO:0005634;GO:0046872;GO:0051539	Protein NAR1 (Nuclear architecture related 1) (Protein GROWTH AT DIFFERENT OXYGEN LEVELS INFLUENCES MORPHOGENESIS) ([FeFe]-hydrogenase-like protein GOLLUM)
XP_006285732.1	111	AT4G27360.1	AT4G27360.1	orthologue	GO:0045505;GO:0007017;GO:0005868;GO:0005737;GO:0005874;GO:0030286	Dynein light chain
XP_006285733.1	104	AT4G34810.1	AT4G34810.1	orthologue	GO:0009733;GO:0005739;GO:0003674	SAUR-like auxin-responsive protein family
XP_006285734.1	282	AT4G30280.1	AT4G30280.1	orthologue	GO:0071456;GO:0016762;GO:0030247;GO:0005576;GO:0010411;GO:0005794;GO:0042546;GO:0004553;GO:0048046;GO:0071555;GO:0005975;GO:0005618;GO:0044042	Probable xyloglucan endotransglucosylase/hydrolase protein 18 (At-XTH18) (XTH-18) (EC 2.4.1.207)
XP_006285736.1	1015	AT4G23000.1	AT4G23000.1	orthologue	GO:0005739;GO:0016787;GO:0016020	Calcineurin-like metallo-phosphoesterase superfamily protein
XP_006285737.2	590	AT4G12570.1	AT4G12570.1	other	GO:0006511;GO:0016567;GO:0005515;GO:0042542;GO:0004842;GO:0010150;GO:0005634;GO:0061630;GO:0005737;GO:0009753;GO:0030246;GO:0000209	E3 ubiquitin-protein ligase UPL5 (Ubiquitin-protein ligase 5) (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase UPL5)
XP_006285739.1	113	AT4G37710.1	AT4G37710.1	orthologue	GO:0005515;GO:0071456;GO:0005634;GO:0009908	VQ motif-containing protein 29 (AtVQ29)
XP_006285740.1	233	AT4G26485.1	AT4G26485.1	orthologue	GO:0005634;GO:0070475;GO:0005737;GO:0070042	Uncharacterized protein At4g26485
XP_006285741.1	136	AT4G21840.1	AT4G21840.1	other	GO:0033743;GO:0034599;GO:0030091;GO:0008113;GO:0005829;GO:0009507;GO:0005737;GO:0006979;GO:0046872;GO:0016671	Peptide methionine sulfoxide reductase B8 (AtMSRB8) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)
XP_006285742.1	169	AT4G37660.1	AT4G37660.1	orthologue	GO:0003735;GO:0006412;GO:0003729;GO:0005739;GO:0005840;GO:0006508;GO:0008233;GO:1990904	AT4g37660/F19F18_150 (Ribosomal protein L12/ ATP-dependent Clp protease adaptor protein ClpS family protein) (Ribosomal-like protein)
XP_006285744.1	68	AT5G40730.1	AT5G40730.1	orthologue	GO:0016020;GO:0005886;GO:0003674;GO:0098552	Arabinogalactan protein 24 (AtAGP24) (Arabinogalactan peptide 24) (AG-peptide 24)
XP_006285745.1	180	AT4G18930.1	AT4G18930.1	orthologue	GO:0006388;GO:0004112;GO:0005737;GO:0005829;GO:0004113;GO:0009187	Cyclic phosphodiesterase (CPDase) (EC 3.1.4.37)
XP_006285747.1	413	AT4G34650.1	AT4G34650.1	orthologue	GO:0016126;GO:0005789;GO:0008610;GO:0051996;GO:0045338;GO:0016020;GO:0004310;GO:0009058	Inactive squalene synthase 2;Squalene synthase 2
XP_006285749.1	304	AT4G29640.1	AT4G29640.1	orthologue	GO:0005829;GO:0009507;GO:0009972;GO:0004126;GO:0008270;GO:0005737;GO:0042802;GO:0016787;GO:0003824	Cytidine deaminase 5 (EC 3.5.4.5)
XP_006285750.1	468	AT4G26990.1	AT4G26990.1	orthologue	GO:0034063;GO:0003729;GO:0010494;GO:0003723;GO:0005634	AT4g26990/F10M23_330 (Polyadenylate-binding protein interacting protein)
XP_006285753.1	777	AT4G21530.1	AT4G21530.1	orthologue	GO:0003674;GO:0034399;GO:0016567;GO:0048481;GO:0005634;GO:0005680;GO:0070979;GO:0009793;GO:0031145;GO:0051301;GO:0005515	Anaphase-promoting complex subunit 4 (Cyclosome subunit 4)
XP_006285754.1	273	AT4G36750.1	AT4G36750.1	orthologue	GO:0003955;GO:0005886;GO:0010181;GO:0005737;GO:0016020;GO:0008753;GO:0050136	Probable NAD(P)H dehydrogenase (quinone) FQR1-like 2 (EC 1.6.5.2)
XP_006285756.1	151	AT4G16295.1, AT4G29035.1	AT4G16295.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0009875;GO:0060320	S-protein homolog 1;S-protein homolog 74
XP_006285759.1	856	AT5G35910.1	AT5G35910.1	orthologue	GO:0000467;GO:0043633;GO:0071035;GO:0005730;GO:0000176;GO:0003676;GO:0006364;GO:0071038;GO:0071036;GO:0071051;GO:0071037;GO:0071039;GO:0000175;GO:0071044;GO:0000166;GO:0071040;GO:0005737;GO:0005634;GO:0080188;GO:0003727;GO:0006139;GO:0008408	Protein RRP6-like 2 (AtRRP6L2)
XP_006285761.1	458	AT5G39080.1	AT5G39080.1	orthologue	GO:0009507;GO:0009536;GO:0003674;GO:0016747	Acyltransferase-like protein (At5g39080) (HXXXD-type acyl-transferase family protein)
XP_006285762.1	94	AT4G14272.1, AT4G14276.1, AT5G39645.1, AT5G52605.1	AT4G14276.1	other	GO:0003674;GO:0005576;GO:0008150;GO:0009860;GO:0031640;GO:0050832;GO:0016020	Defensin-like (DEFL) family protein;Defensin-like protein 21;Putative defensin-like protein 20;Putative defensin-like protein 28
XP_006285763.1	122	AT4G30074.1	AT4G30074.1	orthologue	GO:0003674;GO:0008150;GO:0005576;GO:0031640;GO:0050832	Defensin-like protein 183 (Low-molecular-weight cysteine-rich protein 19) (Protein LCR19)
XP_006285765.1	888	AT5G38990.1	AT5G38990.1	orthologue	GO:0010038;GO:0016301;GO:0005576;GO:0009536;GO:0004714;GO:0004672;GO:0016310;GO:0005886;GO:0004674;GO:0005524;GO:0016020;GO:0006468	Probable receptor-like protein kinase At5g38990 (EC 2.7.11.-)
XP_006285766.1	209	AT4G25200.1	AT4G25200.1	orthologue	GO:0003674;GO:0009507;GO:0005739	23.6 kDa heat shock protein, mitochondrial (AtHsp23.6)
XP_006285767.1	312	AT4G39970.1	AT4G39970.1	orthologue	GO:0009570;GO:0009941;GO:0005886;GO:0003674;GO:0009507;GO:0016787;GO:0046872	Haloacid dehalogenase-like hydrolase domain-containing protein At4g39970 (EC 3.1.3.-)
XP_006285768.2	414	AT4G36840.1	AT4G36840.1	other	GO:0005634;GO:0003674;;GO:0005515	Galactose oxidase/kelch repeat superfamily protein
XP_006285772.2	190	AT1G70020.1, AT1G70040.1, AT1G70120.1, AT3G54410.1, AT3G60700.1, AT5G39330.1	AT1G70040.1	other	GO:0003674;GO:0005739;GO:0008150;GO:0005634;GO:0005575;GO:0016020	F20P5.22 protein (Transmembrane protein, putative (DUF1163));F20P5.24 protein (Transmembrane protein, putative (DUF1163));Gb|AAB61110.1 (Transmembrane protein, putative (DUF1163));Transmembrane protein, putative (DUF1163);Uncharacterized protein T12E18_100;Uncharacterized protein T4C21_110
XP_006285775.1	699	AT4G28010.1	AT4G28010.1	orthologue	GO:0006397;GO:0003729;GO:0005737;GO:0005739;GO:0090617;GO:0005515	Pentatricopeptide repeat-containing protein At4g28010
XP_006285777.2	267	AT5G39300.1, AT5G39280.1, AT5G39290.1, AT5G39270.1	AT5G39270.1	orthologue	GO:0005576;GO:0009664;GO:0009828;GO:0009826;GO:0003674;GO:0009653;GO:0016020	Expansin-A22 (AtEXPA22) (Alpha-expansin-22) (At-EXP22) (AtEx22) (Ath-ExpAlpha-1.15);Expansin-A23 (AtEXPA23) (Alpha-expansin-23) (At-EXP23) (AtEx23) (Ath-ExpAlpha-1.17);Expansin-A25 (AtEXPA25) (Alpha-expansin-25) (At-EXP25) (AtEx25) (Ath-ExpAlpha-1.18);Putative expansin-A26 (AtEXPA26) (Alpha-expansin-26) (At-EXP26) (AtEx26) (Ath-ExpAlpha-1.16)
XP_006285779.1	350	AT4G16270.1	AT4G16270.1	orthologue	GO:0006979;GO:0005576;GO:0020037;GO:0048658;GO:0004601;GO:0140825;GO:0042744;GO:0046872	Peroxidase 40 (Atperox P40) (EC 1.11.1.7)
XP_006285780.1	221	AT5G40350.1	AT5G40350.1	orthologue	GO:0006355;GO:0048443;GO:0005634;GO:0009867;GO:0043565;GO:0009753;GO:0080086;GO:1990841;GO:0003700;GO:0009740;GO:0005515	Myb domain protein 24;Transcription factor MYB24 (Myb-related protein 24) (AtMYB24)
XP_006285781.2	274	AT4G13480.1	AT4G13480.1	orthologue	GO:0006355;GO:0005634;GO:0003700;GO:0001216;GO:0045893;GO:0043565	Myb domain protein 79 (Myb-like protein) (Putative myb protein)
XP_006285782.1	793	AT4G38180.1	AT4G38180.1	orthologue	GO:0005515;GO:0005634;GO:0006355;GO:0008270	Protein FAR1-RELATED SEQUENCE 5
XP_006285783.1	293	AT4G36640.1	AT4G36640.1	orthologue	GO:0008526;GO:0005634;GO:0005737;GO:0016020	AT4G36640 protein (Sec14p-like phosphatidylinositol transfer family protein);At4g36640 (Sec14p-like phosphatidylinositol transfer family protein)
XP_006285784.1	1013	AT4G28650.1	AT4G28650.1	orthologue	GO:0010183;GO:0004674;GO:0005886;GO:0006468;GO:0005515;GO:0046777;GO:0004672;GO:0010067;GO:0090406;GO:0010087;GO:0005524;GO:0030154;GO:0106310;GO:0033612	MDIS1-interacting receptor like kinase 1 (AtMIK1) (Leucine-rich repeat receptor-like protein kinase PXL2) (EC 2.7.11.1) (Protein PHLOEM INTERCALATED WITH XYLEM-LIKE 2)
XP_006285785.1	239	AT4G33690.1	AT4G33690.1	orthologue	GO:0005575;GO:0005515	At4g33690 (G patch domain protein)
XP_006285786.2	205	AT4G32342.2	AT4G32342.2	orthologue	GO:0008150;GO:0003674;GO:0005634	Gag1-like clamp domain-containing protein
XP_006285787.1	86	AT4G37295.1	AT4G37295.1	orthologue	GO:0070696;GO:1901332;GO:0005739	At4g37295
XP_006285789.1	292	AT4G17920.1	AT4G17920.1	orthologue	GO:0005737;GO:0003674;GO:0016567;GO:0008270;GO:0016020;GO:0016740	RING-H2 finger protein ATL29 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase ATL29)
XP_006285791.1	517	AT4G13240.1	AT4G13240.1	orthologue	GO:0080092;GO:0005085;GO:0009507;GO:0005886	Rop guanine nucleotide exchange factor 9 (AtRopGEF9) (Rho of plants guanine nucleotide exchange factor 9)
XP_006285793.1	624	AT5G39960.1	AT5G39960.1	orthologue	GO:0009507;GO:0005739;GO:0003674;GO:0005525;GO:0042254	GTPase Der (GTP-binding protein EngA)
XP_006285794.1	467	AT4G30610.1	AT4G30610.1	orthologue	GO:0009742;GO:0005615;GO:0004185;GO:0005576;GO:0006508	Serine carboxypeptidase 24 (EC 3.4.16.6) (Bri1 suppressor 1) (Carboxypeptidase D) (Serine carboxypeptidase II) [Cleaved into: Serine carboxypeptidase 24 chain A (Serine carboxypeptidase II chain A); Serine carboxypeptidase 24 chain B (Serine carboxypeptidase II chain B)]
XP_006285795.1	341	AT5G39760.1	AT5G39760.1	orthologue	GO:0045893;GO:0005634;GO:0000976;GO:0005515;GO:0003677;GO:0042803;GO:0009739;GO:0006355;GO:0009637;GO:0008134;GO:0001173;GO:0003700;GO:0008270;GO:0009740;GO:0050793	Zinc-finger homeodomain protein 10 (AtZHD10) (Homeobox protein 23) (AtHB-23)
XP_006285796.1	374	AT4G33900.1, AT4G23580.1	AT4G23580.1	orthologue	GO:0003674;GO:0008150;GO:0005575;GO:0005737;GO:0016020;GO:0005515	AT4g33900 (Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein);F-box/kelch-repeat protein At4g23580;F-box/kelch-repeat protein At4g33900
XP_006285797.1	416	AT1G80480.1	AT1G80480.1	other	GO:0009507;GO:0003674;GO:0005737;GO:0009570;GO:0042644;GO:0120127;GO:0016787	At1g80480 (Plastid transcriptionally active 17)
XP_006285801.2	135	AT4G21840.1	AT4G21840.1	other	GO:0033743;GO:0034599;GO:0030091;GO:0008113;GO:0005829;GO:0009507;GO:0005737;GO:0006979;GO:0046872;GO:0016671	Peptide methionine sulfoxide reductase B8 (AtMSRB8) (EC 1.8.4.12) (Peptide-methionine (R)-S-oxide reductase)
XP_006285802.2	109	AT2G36695.1	AT2G36695.1	orthologue	GO:0008150;GO:0003674;GO:0005576	Uncharacterized protein
XP_006285804.2	496	AT4G37430.1	AT4G37430.1	other	GO:0005739;GO:0016020;GO:0005783;GO:0020037;GO:0042343;GO:0016705;GO:0004497;GO:0016709;GO:0005506	Cytochrome P450 81F1 (EC 1.14.-.-)
XP_006285806.1	204	AT4G28365.1	AT4G28365.1	orthologue	GO:0008150;GO:0016020;GO:0009055;GO:0005886;GO:0005576;GO:0098552	Early nodulin-like protein 3 (AtENODL3) (Phytocyanin-like protein ENODL3)
XP_006285808.1	250	AT4G19925.1, AT4G19920.1	AT4G19920.1	other	GO:0003674;GO:0007165;GO:0005737;GO:0005575;GO:0005634;GO:0006952;GO:0016020	Toll-Interleukin-Resistance (TIR) domain family protein
XP_006285809.1	132	AT4G27280.1	AT4G27280.1	orthologue	GO:0071456;GO:0005509;GO:0005886;GO:0009733;GO:0005515	Calcium-binding protein KRP1 (KIC-related protein 1)
XP_006285811.1	559	AT4G22690.1	AT4G22690.1	orthologue	GO:0009505;GO:0009507;GO:0005739;GO:0005794;GO:0000325;GO:0020037;GO:0005506;GO:0016705;GO:0004497	Cytochrome P450, family 706, subfamily A, polypeptide 1
XP_006285812.1	433	AT4G26350.1	AT4G26350.1	orthologue	GO:0008150;GO:0003674;GO:0005575;;GO:0005515	Putative F-box/FBD/LRR-repeat protein At4g26350
XP_006285813.1	183	AT4G25140.1	AT4G25140.1	orthologue	GO:0010344;GO:0005576;GO:0003674;GO:0050826;GO:0019953;GO:0019915;GO:0009845;GO:0005739;GO:0012511;GO:0016020	Oleosin 18.5 kDa
XP_006285815.1	437	AT4G17100.1	AT4G17100.1	orthologue	GO:0005829;GO:0004521;GO:0005634;GO:0003746;GO:0003924;GO:0005525;GO:0016787	Nucleotide-sugar transporter family protein (Poly(U)-specific endoribonuclease-B protein) (RNA polymerase II, Rpb4, core protein);Poly(U)-specific endoribonuclease-B protein
XP_006285816.1	386	AT4G29510.1	AT4G29510.1	orthologue	GO:0016274;GO:0005634;GO:0042054;GO:0006355;GO:0035242;GO:0005515;GO:0005737;GO:0006338;GO:0006325;GO:0032259;GO:0018216;GO:0019919;GO:0034969	Protein arginine N-methyltransferase 1.1 (AtPRMT11) (EC 2.1.1.319) (Arginine methyltransferase pam1) (Histone-arginine N-methyltransferase PRMT11)
XP_006285817.1	993	AT4G33210.1	AT4G33210.1	orthologue	GO:0005515;GO:0006511;GO:0005737;GO:0009266;GO:1905393;GO:0003674	F-box/LRR-repeat protein 15
XP_006285818.1	1287	AT4G31210.1	AT4G31210.1	orthologue	GO:0003917;GO:0006265;GO:0009507;GO:0003729;GO:0003677;GO:0007059;GO:0046872;GO:0003916;GO:0005694	DNA topoisomerase (EC 5.6.2.1)
XP_006285819.1	183	AT4G18730.1, AT5G45775.2, AT3G58700.1, AT2G42740.1	AT2G42740.1	other	GO:0005737;GO:0008150;GO:0009536;GO:0005773;GO:0003729;GO:0005829;GO:0005730;GO:0022625;GO:0005515;GO:0006412;GO:0003735;GO:0003723;GO:0009506;GO:0022626;GO:0005634;GO:0019843;GO:0005840	Large ribosomal subunit protein uL5y/uL5x/uL5w (60S ribosomal protein L11-2) (L16);Large ribosomal subunit protein uL5z (60S ribosomal protein L11-1) (L16A)
XP_006285820.1	181	AT5G38410.3, AT5G38430.1, AT5G38420.1	AT5G38430.1	orthologue	GO:0009507;GO:0022626;GO:0048046;GO:0009941;GO:0009570;GO:0110102;GO:0009505;GO:0009579;GO:0015979;GO:0009536;GO:0005515;GO:0003729;GO:0009853;GO:0016984;GO:0019253;GO:0019904	Ribulose bisphosphate carboxylase small subunit 1B, chloroplastic (RuBisCO small subunit 1B);Ribulose bisphosphate carboxylase small subunit 2B, chloroplastic (RuBisCO small subunit 2B);Ribulose bisphosphate carboxylase small subunit 3B, chloroplastic (RuBisCO small subunit 3B);Ribulose bisphosphate carboxylase small subunit, chloroplastic (RuBisCO small subunit)
XP_006285821.2	653	AT5G34930.2	AT5G34930.2	orthologue	GO:0070403;GO:0033730;GO:0006571;GO:0004665;GO:0009507;GO:0006570;GO:0008977	Arogenate dehydrogenase;Arogenate dehydrogenase 1, chloroplastic (EC 1.3.1.78) (TYRATC) (TyrAAT1)
XP_006285823.1	811	AT5G41610.1	AT5G41610.1	orthologue	GO:0006885;GO:0009507;GO:0006812;GO:0098662;GO:0005770;GO:1902600;GO:0015385;GO:0012505;GO:0006813;GO:0015297;GO:0016020;GO:0055085	Cation/H(+) antiporter 18 (Protein CATION/H+ EXCHANGER 18) (AtCHX18)
XP_006285824.1	317	AT4G34300.1, AT4G33930.1	AT4G34300.1	orthologue	GO:0005634;GO:0009055;GO:0008150	Cupredoxin superfamily protein
XP_006285829.1	284	AT4G14465.1	AT4G14465.1	orthologue	GO:0005515;GO:2000028;GO:0045824;GO:1900425;GO:0042742;GO:0003680;GO:0005634;GO:0003700;GO:0045087	AT-hook motif nuclear-localized protein 20
XP_006285831.1	198	AT4G28840.1	AT4G28840.1	orthologue	GO:0003700;GO:0048366;GO:0005634;GO:0045892;GO:0005515	Mediator of RNA polymerase II transcription subunit;Protein SPEAR3 (SPL-like, EAR-containing protein 3) (TCP interactor containing EAR motif protein 1)
XP_006285833.1	130	AT4G32090.1	AT4G32090.1	other	GO:0001709;GO:0005576;GO:0003674	Beta-1,3-N-Acetylglucosaminyltransferase family protein
XP_006285834.1	233	AT4G26470.3	AT4G26470.3	orthologue	GO:0005886;GO:0030234;GO:0000226;GO:0005737;GO:0005509	Calcium-binding EF-hand family protein;Probable calcium-binding protein CML21 (Calmodulin-like protein 21)
XP_006285835.1	247	AT4G38000.1	AT4G38000.1	orthologue	GO:0003700;GO:0045893;GO:0006355;GO:0010227;GO:0005634;GO:0003677;GO:0005515;GO:0008270	Dof zinc finger protein DOF4.7 (AtDOF4.7) (Protein DNA BINDING WITH ONE FINGER 4.7)
XP_006285836.1	392	AT4G23390.1	AT4G23390.1	orthologue	GO:0008150;GO:0005575;GO:0003674	At4g23390 (NEP-interacting protein, putative (DUF239))
XP_006285838.1	1046	AT4G35560.2	AT4G35560.2	orthologue	GO:0019905;GO:0006887;GO:0006893;GO:0005634;GO:0005737;GO:0045159;GO:0005096;GO:0048235;GO:0005886;GO:0080008;GO:0005515	Transducin/WD40 repeat-like superfamily protein
XP_006285840.1	314	AT4G24570.1	AT4G24570.1	orthologue	GO:0071422;GO:0071456;GO:0015141;GO:0071423;GO:0015116;GO:0015140;GO:0015297;GO:0035435;GO:0015729;GO:0015131;GO:0015709;GO:0015117;GO:0005739;GO:0006839;GO:0005310;GO:0005743;GO:0055085	Mitochondrial uncoupling protein 4 (AtPUMP4) (Mitochondrial dicarboxylate carrier 2)
XP_006285841.1	200	AT5G40420.1	AT5G40420.1	orthologue	GO:0012511;GO:0010344;GO:0009845;GO:0050826;GO:0019915;GO:0003729;GO:0016020	Oleosin 21.2 kDa (Oleosin type 2)
XP_006285842.1	418	AT4G13360.1	AT4G13360.1	orthologue	GO:0003860;GO:0006574;GO:0005829;GO:0009507;GO:0005739	3-hydroxyisobutyryl-CoA hydrolase-like protein 3, mitochondrial (EC 3.1.2.-)
XP_006285843.1	169	AT4G27140.1, AT4G27150.1, AT4G27160.1, AT4G27170.1	AT4G27160.1	other	GO:0003674;GO:0005576;GO:0008150;GO:0005515;GO:0043424;GO:0045735	2S seed storage protein 1 (2S albumin storage protein) (NWMU2-2S albumin 1) [Cleaved into: 2S seed storage protein 1 small subunit; 2S seed storage protein 1 large subunit];2S seed storage protein 2 (2S albumin storage protein) (NWMU2-2S albumin 2) [Cleaved into: 2S seed storage protein 2 small subunit; 2S seed storage protein 2 large subunit];2S seed storage protein 3 (2S albumin storage protein) (NWMU2-2S albumin 3) [Cleaved into: 2S seed storage protein 3 small subunit; 2S seed storage protein 3 large subunit];2S seed storage protein 4 (2S albumin storage protein) (NWMU2-2S albumin 4) [Cleaved into: 2S seed storage protein 4 small subunit; 2S seed storage protein 4 large subunit]
XP_006285845.1	117	AT4G21780.1	AT4G21780.1	orthologue	GO:0005739;GO:0003674	Uncharacterized protein At4g21780 (Uncharacterized protein F17L22.240)
XP_006285846.2	279	AT4G35820.1	AT4G35820.1	orthologue	GO:0005783;GO:0005506;GO:0031418;GO:0004656;GO:0005789;GO:0016705;GO:0018401	Probable prolyl 4-hydroxylase 11 (AtP4H11) (EC 1.14.11.2)
XP_006285847.2	611	AT1G65350.1, AT4G02890.3, AT4G05320.2, AT5G03240.1, AT5G20620.1, AT5G37640.1	AT4G05320.2	other	GO:0006511;GO:0000325;GO:0019941;GO:0005634;GO:0016567;GO:0031625;GO:0005737;GO:0031386;GO:0003729;GO:0005829;GO:0009536;GO:0009505;GO:0005622;GO:0005730;GO:0010224;GO:0005886;GO:0009751;GO:0005515	AT4g05320/C17L7_240 (Polyubiquitin 10);Polyubiquitin (Ubiquitin 11);Polyubiquitin 10 [Cleaved into: Ubiquitin];Polyubiquitin 14 [Cleaved into: Ubiquitin];Polyubiquitin 3 [Cleaved into: Ubiquitin];Polyubiquitin 4 [Cleaved into: Ubiquitin];Polyubiquitin 9 [Cleaved into: Ubiquitin-related 1; Ubiquitin-related 2; Ubiquitin-related 3; Ubiquitin-related 4];Ubiquitin 13;Ubiquitin 4
XP_006285848.1	132	AT4G30070.1	AT4G30070.1	orthologue	GO:0003674;GO:0006952;GO:0005576;GO:0031640;GO:0050832	Defensin-like protein 182 (Low-molecular-weight cysteine-rich protein 59) (Protein LCR59) (Plant defensin 3.2)
XP_006285849.1	324	AT4G37520.1, AT4G37530.1	AT4G37520.1	other	GO:0005576;GO:0005515;GO:0006979;GO:0140825;GO:0005737;GO:0020037;GO:0042744;GO:0046872;GO:0048511;GO:0005773;GO:0004601	Peroxidase (EC 1.11.1.7);Peroxidase 50 (Atperox P50) (EC 1.11.1.7) (ATP9a) (PRXR2);Peroxidase 51 (Atperox P51) (EC 1.11.1.7) (ATP37)
XP_006285851.1	586	AT4G37420.1	AT4G37420.1	orthologue	GO:0070085;GO:0016757;GO:0005737;GO:0016020	Glycosyltransferase family 92 protein (EC 2.4.1.-)
XP_006285852.1	203				GO:0003700;GO:0006355;GO:0043565;GO:0000978;GO:0005634;GO:0006357;GO:0034605	
XP_006285853.1	317	AT4G23070.1	AT4G23070.1	orthologue	GO:0004252;GO:0005634;GO:0006508;GO:0016020	RHOMBOID-like protein 7 (AtRBL7) (EC 3.4.21.105)
XP_006285855.2	392	AT5G40430.1, AT2G25230.1	AT5G40430.1	orthologue	GO:0000978;GO:0006355;GO:0005634;GO:0003700;GO:0000981;GO:0009554;GO:0009629;GO:0009737;GO:0010052;GO:0010235;GO:0010376;GO:0010444;GO:0032875;GO:0048364;GO:0050891;GO:1901002;GO:1901333;GO:1902584;GO:1902806;GO:2000037	At5g40430 (Myb domain protein 22) (Transcription factor);Myb domain protein 100 (Putative MYB family transcription factor) (Putative transcription factor)
