Cardamine_hirsuta	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
CARHR005650	68	AT1G06137.1	AT1G06137.1	orthologue	GO:0005179;GO:0005739	Transmembrane protein
CARHR005660	680	AT1G06150.2	AT1G06150.2	orthologue	GO:0046983;GO:0006355;GO:0009451;GO:0005634;GO:0003700;GO:0048364;GO:0003677	Transcription factor EMB1444 (Basic helix-loop-helix protein 169) (AtbHLH169) (bHLH 169) (LONESOME HIGHWAY-like protein 1) (Protein EMBRYO DEFECTIVE 1444) (bHLH transcription factor bHLH169)
CARHR005670	558	AT1G06140.1	AT1G06140.1	orthologue	GO:0080156;GO:0005739;GO:0003723;GO:0005515;GO:0009451	Pentatricopeptide repeat-containing protein At1g06140, mitochondrial
CARHR005680	34					
CARHR005690	240	AT1G06160.1	AT1G06160.1	orthologue	GO:0005622;GO:0006355;GO:0009861;GO:0009873;GO:0005634;GO:0003677;GO:0009753;GO:0003700;GO:0009723	Ethylene-responsive transcription factor ERF094 (Protein OCTADECANOID-RESPONSIVE ARABIDOPSIS AP2/ERF 59)
CARHR005700	425	AT1G06170.1	AT1G06170.1	orthologue	GO:0070888;GO:0003700;GO:0006355;GO:0046983;GO:0009555;GO:0005634;GO:0048658;GO:0052543;GO:0005515	Transcription factor bHLH89 (Basic helix-loop-helix protein 89) (AtbHLH89) (bHLH 89) (Transcription factor EN 24) (bHLH transcription factor bHLH089)
CARHR005710	248	AT1G06180.1	AT1G06180.1	orthologue	GO:0009909;GO:0000976;GO:0005515;GO:0003700;GO:0005634	Transcription factor MYB13 (ATMYBL1) (Myb-related protein 13) (AtMYB13)
CARHR005720	406	AT1G06190.5	AT1G06190.5	orthologue	GO:0009507;GO:0010239;GO:0006353;GO:0019843;GO:1901259;GO:0005576;GO:0005515;GO:0003729;GO:0005634	Rho termination factor;Rho-N domain-containing protein 1, chloroplastic
CARHR005730	205	AT1G06200.2	AT1G06200.2	orthologue	GO:0006465;GO:0004252;GO:0005739	Peptidase S24/S26A/S26B/S26C family protein
CARHR005740	383	AT1G06210.1	AT1G06210.1	orthologue	GO:0005794;GO:0043328;GO:0043130;GO:0035091;GO:0005737;GO:0016020	TOM1-like protein 2
CARHR005750	987	AT1G06220.1, AT5G25230.1	AT1G06220.1	orthologue	GO:0005515;GO:0000398;GO:0045694;GO:0009505;GO:0009793;GO:0005737;GO:0071007;GO:0030623;GO:0003924;GO:0048437;GO:0016607;GO:0046540;GO:0005829;GO:0005576;GO:0009536;GO:0005730;GO:0009506;GO:0005525;GO:0005681;GO:0006397;GO:0008380;GO:1990904	109 kDa U5 small nuclear ribonucleoprotein component GFL (Protein GFA1-LIKE) (SNU114 homolog);110 kDa U5 small nuclear ribonucleoprotein component CLO (Protein CLOTHO) (Protein GAMETOPHYTE FACTOR 1) (Protein MATERNAL EFFECT EMBRYO ARREST 5) (Protein VAJRA-1) (SNU114 homolog)
CARHR005760	83	AT1G06225.1	AT1G06225.1	orthologue	GO:0045168;GO:0048046;GO:0005739;GO:0033612	CLAVATA3/ESR (CLE)-related protein 3 [Cleaved into: CLE3p]
CARHR005770	763	AT1G06230.1	AT1G06230.1	orthologue	GO:0004674;GO:0045931;GO:0000785;GO:0048364;GO:0005634;GO:0010629;GO:0003682;GO:0009294;GO:0006357;GO:0042393;GO:0006338;GO:1990837;GO:0005515	Transcription factor GTE4 (Bromodomain-containing protein GTE4) (Protein GLOBAL TRANSCRIPTION FACTOR GROUP E4)
CARHR005780	384	AT1G06240.1	AT1G06240.1	orthologue	GO:0009507;GO:0003674	Uncharacterized protein At1g06240
CARHR005790	82	AT1G06250.1	AT1G06250.1	other	GO:0008970;GO:0005737;GO:0005576;GO:0008150;GO:0016042	Phospholipase A1 (EC 3.1.1.-);Phospholipase A1-IIalpha (EC 3.1.1.-)
CARHR005800	142	AT1G06250.1	AT1G06250.1	other	GO:0008970;GO:0005737;GO:0005576;GO:0008150;GO:0016042;GO:0006629	Phospholipase A1 (EC 3.1.1.-);Phospholipase A1-IIalpha (EC 3.1.1.-)
CARHR005810	229	AT1G06250.1	AT1G06250.1	orthologue	GO:0008970;GO:0005737;GO:0005576;GO:0008150;GO:0016042;GO:0006629	Phospholipase A1 (EC 3.1.1.-);Phospholipase A1-IIalpha (EC 3.1.1.-)
CARHR005820	339	AT1G06260.1	AT1G06260.1	orthologue	GO:0051603;GO:0004197;GO:0005576;GO:0005764;GO:0005615;GO:0006508;GO:0008234	Cysteine proteinases superfamily protein (F9P14.12 protein)
CARHR005830	343	AT1G06270.1	AT1G06270.1	orthologue	GO:0005739;GO:0042170;GO:0003729;GO:0008150;GO:0005515	Pentatricopeptide repeat-containing protein At1g06270
CARHR005840	343	AT1G10580.1	AT1G10580.1	other	GO:0000398;GO:0080008;GO:0071013;GO:0005576;GO:0003729;GO:0005634;GO:0005515	Pre-mRNA-processing factor 17
CARHR005850	148	AT1G10580.1	AT1G10580.1	orthologue	GO:0000398;GO:0080008;GO:0071013;GO:0005576;GO:0003729;GO:0005634	Pre-mRNA-processing factor 17
CARHR005860	208	AT1G06280.1	AT1G06280.1	orthologue	GO:0001216;GO:0008150;GO:0005634	LOB domain-containing protein 2 (ASYMMETRIC LEAVES 2-like protein 32) (AS2-like protein 32)
CARHR005870	675	AT1G06290.1	AT1G06290.1	orthologue	GO:0006635;GO:0033540;GO:0005504;GO:0003997;GO:0005576;GO:0051791;GO:0005777;GO:0071949;GO:0050660;GO:0016627;GO:0006631;GO:0055088	Acyl-coenzyme A oxidase 3, peroxisomal (AOX 3) (Acyl-CoA oxidase 3) (EC 1.3.3.6) (Medium-chain acyl-CoA oxidase) (AtCX3)
CARHR005880	184	AT1G06320.1	AT1G06320.1	orthologue	GO:0005634;GO:0003674;GO:0008150	DUF7787 domain-containing protein
CARHR005890	145	AT1G06330.1	AT1G06330.1	orthologue	GO:0005886;GO:0008150;GO:0003674;GO:0046872	Heavy metal transport/detoxification superfamily protein;Heavy metal-associated isoprenylated plant protein 28 (AtHIP28)
CARHR005900	139	AT1G06340.1	AT1G06340.1	orthologue	GO:0003674;GO:0008150;GO:0005634	At1g06340 (Plant Tudor-like protein) (T2D23.4 protein)
CARHR005910	196	AT1G04570.1	AT1G04570.1	other	GO:0005575;GO:0003674;GO:0016020;GO:0031969	Major facilitator superfamily protein;Probable folate-biopterin transporter 8, chloroplastic
CARHR005920	679	AT1G03310.1	AT1G03310.1	orthologue	GO:0019252;GO:0019156;GO:0009507;GO:0005977;GO:0010021;GO:0005983;GO:0043033;GO:0004553;GO:0005975	Isoamylase 2, chloroplastic (AtISA2) (Protein DEBRANCHING ENZYME 1)
CARHR005930	356	AT1G03300.1	AT1G03300.1	orthologue	GO:0005634;GO:0003674	DUF724 domain-containing protein 1 (AtDUF1)
CARHR005940	104	AT2G47220.1	AT2G47220.1	other	GO:0042803;GO:0009570;GO:0005634;GO:0005737	DUF724 domain-containing protein 5 (AtDUF5)
CARHR005950	474	AT1G03290.1	AT1G03290.1	orthologue	GO:0000796;GO:0007076;GO:0005576;GO:0000785;GO:0003682;GO:0000793	ELKS/Rab6-interacting/CAST family protein;ELKS/Rab6-interacting/CAST family protein (F15K9.11 protein)
CARHR005960	135	AT1G06340.1	AT1G06340.1	orthologue	GO:0003674;GO:0008150;GO:0005634	At1g06340 (Plant Tudor-like protein) (T2D23.4 protein)
CARHR005970	362	AT1G24256.1	AT1G24256.1	orthologue	GO:0010468;GO:0003674;GO:0005634;GO:0005777	NYN domain-containing protein
CARHR005980	304	AT1G06360.2	AT1G06360.2	orthologue	GO:0005739;GO:0005789;GO:0042761;GO:0010025;GO:0005783;GO:0006636;GO:0016215;GO:0016020;GO:0016717;GO:0009979;GO:0006629	Delta-9 desaturase-like 5 protein (EC 1.14.19.-);Fatty acid desaturase family protein
CARHR005990	249	AT1G06380.1	AT1G06380.1	orthologue	GO:0009507;GO:0003723;GO:0009941;GO:0005634;GO:0005730;GO:0005840	Ribosomal protein L1p/L10e family (T2D23.8 protein)
CARHR006000	400	AT1G06390.1	AT1G06390.1	orthologue	GO:0030154;GO:0009414;GO:0009742;GO:0009416;GO:0046777;GO:0004674;GO:0006468;GO:0010082;GO:0042538;GO:0032880;GO:0005737;GO:0005634;GO:0005515;GO:0005524;GO:0106310;GO:0004672;GO:0007165;GO:0018107	Shaggy-related protein kinase iota (EC 2.7.11.1) (ASK-iota) (GSK3/shaggy-related protein kinase 1) (AtGSK1) (Protein BIN2-like 2) (Shaggy-related protein kinase 2-3) (AtSK2-3) (Shaggy-related protein kinase 22) (AtSK22)
CARHR006010	221	AT1G06400.1	AT1G06400.1	orthologue	GO:0016192;GO:0005515;GO:0005525;GO:0005737;GO:0009733;GO:0003924;GO:0005768;GO:0005886;GO:0005576;GO:0042546;GO:0005829;GO:0015031	Ras-related protein RABA1a (AtRABA1a) (Ras-related protein Ara-2) (Ras-related protein Rab11E) (AtRab11E)
CARHR006020	851	AT1G06410.1	AT1G06410.1	orthologue	GO:0005992;GO:0005737;GO:0016757;GO:0003824;GO:0004805;GO:0005829	Probable alpha,alpha-trehalose-phosphate synthase [UDP-forming] 7 (EC 2.4.1.15) (Trehalose-6-phosphate synthase 7) (AtTPS7)
CARHR006030	175	AT1G06420.1	AT1G06420.1	orthologue	GO:0003674;GO:0008150;GO:0005575;GO:0016874	DNA ligase-like protein;DNA ligase-like protein (T2D23.12 protein)
CARHR006040	685	AT1G06430.1	AT1G06430.1	orthologue	GO:0009535;GO:0009534;GO:0006508;GO:0016887;GO:0009507;GO:0004176;GO:0008270;GO:0010304;GO:0004222;GO:0005576;GO:0009941;GO:0009579;GO:0005524;GO:0016020	ATP-dependent zinc metalloprotease FTSH 8, chloroplastic (AtFTSH8) (EC 3.4.24.-)
CARHR006050	390	AT1G06440.1	AT1G06440.1	orthologue	GO:0003723;GO:0009507;GO:0016787	At1g06440 (F12K11.21) (Ubiquitin carboxyl-terminal hydrolase family protein)
CARHR006060	364	AT1G06450.1	AT1G06450.1	orthologue	GO:0004535;GO:0000932;GO:0000288;GO:0030014;GO:0030015;GO:0003723;GO:0005634;GO:0005737;GO:0046872;GO:0003676	Probable CCR4-associated factor 1 homolog 1 (EC 3.1.13.4)
CARHR006070	284	AT1G06460.1	AT1G06460.1	orthologue	GO:0034605;GO:0005777;GO:0005576;GO:0003674	Alpha-crystallin domain 32.1 (At1g06460) (Peroxisomal small heat shock protein Acd31.2)
CARHR006080	417	AT1G06470.1	AT1G06470.1	orthologue	GO:0015297;GO:0015786;GO:0005801;GO:0005886;GO:0005793;GO:0005794;GO:0016020	Probable sugar phosphate/phosphate translocator At1g06470
CARHR006090	96	AT1G06475.1	AT1G06475.1	orthologue	GO:0005575;GO:0003674;GO:0016020	Transmembrane protein
CARHR006100	1929	AT1G06490.1	AT1G06490.1	orthologue	GO:0003843;GO:0005886;GO:0006075;GO:0080165;GO:0016757;GO:0005739;GO:0000148;GO:0010233;GO:0008360;GO:0071555;GO:0046527;GO:0016020	1,3-beta-glucan synthase (EC 2.4.1.34) (1,3-beta-glucan synthase);Callose synthase 7 (EC 2.4.1.34) (1,3-beta-glucan synthase) (Protein GLUCAN SYNTHASE-LIKE 7)
CARHR006110	137	AT1G06500.1	AT1G06500.1	orthologue	GO:0009507;GO:0003674	AT1G06500 protein
CARHR006120	59	AT2G30942.1, AT1G06515.1	AT1G06515.1	orthologue	GO:0005739;GO:0090153;GO:0044877;GO:0009555;GO:0005783;GO:0003674;GO:0005789	Transmembrane protein, putative (DUF3317)
CARHR006130	238	AT1G06510.1	AT1G06510.1	orthologue	GO:0009507;GO:0005634;GO:0005515	Forkhead-associated domain protein
CARHR006140	581	AT1G06520.1	AT1G06520.1	orthologue	GO:0010143;GO:0048235;GO:0016020;GO:0004366;GO:0005739;GO:0090447;GO:0016024;GO:0016791;GO:0016746	Glycerol-3-phosphate acyltransferase 1 (AtGPAT1) (EC 2.3.1.15)
CARHR006150	318	AT1G06530.1	AT1G06530.1	orthologue	GO:0005741;GO:0005739;GO:0005576;GO:0000325;GO:0007005;GO:0005515	Peroxisomal and mitochondrial division factor 2 (Ubiquitin-interacting factor 7)
CARHR006160	386	AT1G06550.1	AT1G06550.1	orthologue	GO:0005739;GO:0003860;GO:0006574;GO:0005829;GO:0005576	3-hydroxyisobutyryl-CoA hydrolase-like protein 5 (EC 3.1.2.-)
CARHR006170	592	AT1G06560.1	AT1G06560.1	orthologue	GO:0001510;GO:0008173;GO:0005634;GO:0003723;GO:0005730;GO:0006364;GO:0008168	rRNA (cytosine-C(5))-methyltransferase NOP2C (EC 2.1.1.-) (Nucleolar protein 2C) (tRNA methyltransferase 4f) (AtTRM4f)
CARHR006180	412	AT1G06570.1	AT1G06570.1	orthologue	GO:0005829;GO:0009507;GO:0010236;GO:0010189;GO:0003868;GO:0006559;GO:0042802;GO:0005576;GO:0016117;GO:0005737;GO:0006572;GO:0005739;GO:0005506;GO:0046872;GO:0009072;GO:0016701	4-hydroxyphenylpyruvate dioxygenase;4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27) (4-hydroxyphenylpyruvic acid oxidase) (4HPPD) (HPD) (HPPDase)
CARHR006190	66				GO:0003868;GO:0006572;GO:0009072;GO:0016701	
CARHR006200	916	AT1G06590.1	AT1G06590.1	orthologue	GO:0016567;GO:0045842;GO:0031145;GO:0005634;GO:0005680;GO:0070979;GO:0005515;GO:0051301	Anaphase-promoting complex subunit 5 (Cyclosome subunit 5)
CARHR006210	370	AT1G06620.1	AT1G06620.1	orthologue	GO:0009753;GO:0005737;GO:0009620;GO:0005634;GO:0005829;GO:0016706;GO:0016629;GO:0009058;GO:0046872;GO:0051213	1-aminocyclopropane-1-carboxylate oxidase homolog 1;2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
CARHR006220	368	AT1G06640.1	AT1G06640.1	orthologue	GO:0005737;GO:0016706;GO:0009058;GO:0046872;GO:0051213	1-aminocyclopropane-1-carboxylate oxidase homolog 2;2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
CARHR006230	394	AT1G06645.1	AT1G06645.1	orthologue	GO:0003674;GO:0005737;GO:0046872;GO:0051213	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
CARHR006240	474	AT5G43600.1	AT5G43600.1	orthologue	GO:0004848;GO:0000256;GO:0010136;GO:0009507;GO:0009536;GO:0030145;GO:0006145;GO:0005783;GO:0016813;GO:0016787	Ureidoglycolate hydrolase (AtUAH) (EC 3.5.1.116) (Allantoate amidohydrolase 2) (AtAHH2) (Ureidoglycolate amidohydrolase)
CARHR006250	117					
CARHR006260	794	AT5G43630.1	AT5G43630.1	orthologue	GO:0009637;GO:0005634;GO:0008134;GO:0001173;GO:0009785;GO:0006355;GO:0003677;GO:0008270;GO:0003676	Zinc knuckle (CCHC-type) family protein
CARHR006270	231	AT4G10750.1	AT4G10750.1	other	GO:0016832;GO:0005829;GO:0005739;GO:0009536;GO:0009507;GO:0005737;GO:0003824	Phosphoenolpyruvate carboxylase family protein (Putative aldolase) (T12H20.10 protein)
CARHR006280	235	AT4G24080.1	AT4G24080.1	other	GO:0003824;GO:0009736;GO:0016832;GO:0005737	Aldolase like
CARHR006290	152	AT5G43640.1	AT5G43640.1	orthologue	GO:0000028;GO:0022627;GO:0005737;GO:0003723;GO:0003735;GO:0006412;GO:0005840;GO:0015935	Small ribosomal subunit protein uS19w (40S ribosomal protein S15-5)
CARHR006300	250	AT5G43650.1	AT5G43650.1	orthologue	GO:0000976;GO:0003700;GO:0005515;GO:0005634;GO:0006355;GO:0046983;GO:0003677	Basic helix-loop-helix (BHLH) DNA-binding superfamily protein;Transcription factor bHLH92 (Basic helix-loop-helix protein 92) (AtbHLH92) (bHLH 92) (Transcription factor EN 22) (bHLH transcription factor bHLH092)
CARHR006310	65	AT3G42170.1	AT3G42170.1	other	GO:0046983;GO:0003677;GO:0005515;GO:0005829;GO:0009791;GO:0005634;GO:0008270	BED zinc finger and hAT dimerization domain-containing protein DAYSLEEPER;Zinc finger BED domain-containing protein DAYSLEEPER (Transposase-like protein DAYSLEEPER)
CARHR006320	376	AT1G06645.1	AT1G06645.1	orthologue	GO:0003674;GO:0005737;GO:0046872;GO:0051213	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
CARHR006330	491	AT1G06660.1	AT1G06660.1	orthologue	GO:0006355;GO:0003674;GO:0005634;GO:0007142;GO:0009556	Protein JASON
CARHR006340	368	AT1G06650.2	AT1G06650.2	other	GO:0005737;GO:0016706;GO:0005576;GO:0009058;GO:0046872;GO:0051213	1-aminocyclopropane-1-carboxylate oxidase homolog 3
CARHR006350	1764	AT1G06670.1	AT1G06670.1	orthologue	GO:0003723;GO:0006259;GO:0005634;GO:0004386;GO:0003677;GO:0003678;GO:0003724;GO:0005524;GO:0016887;GO:0016787;GO:0003676;GO:0005622	DExH-box ATP-dependent RNA helicase DExH2 (EC 3.6.4.13) (DEIH-box RNA/DNA helicase) (EC 3.6.4.12);Nuclear DEIH-boxhelicase
CARHR006360	263	AT1G06680.1	AT1G06680.1	orthologue	GO:0009507;GO:0008266;GO:0009534;GO:0009579;GO:0009535;GO:0005576;GO:0009543;GO:0009570;GO:0019898;GO:0048046;GO:0009941;GO:0009654;GO:0031977;GO:0003729;GO:0005509;GO:1901149;GO:0019684;GO:0019904;GO:0009523;GO:0015979	Oxygen-evolving enhancer protein 2-1, chloroplastic (OEE2) (23 kDa subunit of oxygen evolving system of photosystem II) (23 kDa thylakoid membrane protein) (OEC 23 kDa subunit) (OEC23)
CARHR006370	377	AT1G06690.1	AT1G06690.1	orthologue	GO:0010287;GO:0009507;GO:0009941;GO:0009535;GO:0005737;GO:0005576;GO:0004033;GO:0016491	Uncharacterized oxidoreductase At1g06690, chloroplastic (EC 1.-.-.-)
CARHR006380	361	AT1G06700.1	AT1G06700.1	orthologue	GO:0004715;GO:0005886;GO:0019901;GO:0016310;GO:0009506;GO:0005524;GO:0004672;GO:0006468;GO:0004713	PTI1-like tyrosine-protein kinase 1 (PTI1-1) (EC 2.7.10.2)
CARHR006390	994	AT1G06710.1	AT1G06710.1	orthologue	GO:0003729;GO:0009507;GO:0006396;GO:0044528;GO:0031966;GO:0080156;GO:0005739;GO:0007005;GO:0005515	Pentatricopeptide repeat-containing protein At1g06710, mitochondrial;Tetratricopeptide repeat (TPR)-like superfamily protein
CARHR006400	1121	AT1G06720.2	AT1G06720.2	orthologue	GO:0000479;GO:0005525;GO:0000462;GO:0005634;GO:0003924;GO:0034511;GO:0005524;GO:0005654;GO:0005730;GO:0032040;GO:0016787;GO:0042274;GO:0042254;GO:0030686	P-loop containing nucleoside triphosphate hydrolases superfamily protein
CARHR006410	365	AT1G51990.1	AT1G51990.1	orthologue	GO:0009058;GO:0005829;GO:0009507;GO:0046983;GO:0008171;GO:0008757;GO:0032259;GO:0008168	F5F19.5 protein (O-methyltransferase family protein);O-methyltransferase family protein
CARHR006420	486	AT1G06730.1	AT1G06730.1	orthologue	GO:0006190;GO:1900542;GO:0009507;GO:0005634;GO:0019206;GO:0005737	At1g06730/F4H5_22 (PfkB-like carbohydrate kinase family protein)
CARHR006430	528	AT1G06750.2	AT1G06750.2	orthologue	GO:0008150;GO:0016301;GO:0005634;GO:0005524;GO:0016020;GO:0016787	P-loop containing nucleoside triphosphate hydrolases superfamily protein
CARHR006440	220	AT2G30620.1	AT2G30620.1	other	GO:0030527;GO:0005634;GO:0045910;GO:0031492;GO:0005739;GO:0006334;GO:0030261;GO:0005730;GO:0000786;GO:0003690;GO:0003677	Histone H1.2;Winged-helix DNA-binding transcription factor family protein
CARHR006450	82	AT1G06760.1	AT1G06760.1	orthologue	GO:0006334;GO:0045910;GO:0003690;GO:0005634;GO:0000786;GO:0031492;GO:0030527;GO:0030261;GO:0003677	Histone H1.1
CARHR006460	419	AT1G06770.1	AT1G06770.1	orthologue	GO:0004842;GO:0005634;GO:0009414;GO:0005737;GO:0051865;GO:0016567;GO:0005515;GO:0008270	DREB2A-interacting protein 1;E3 ubiquitin protein ligase DRIP1 (EC 2.3.2.27) (DREB2A-interacting protein 1) (RING-type E3 ubiquitin transferase DRIP1)
CARHR006470	588	AT1G06780.2	AT1G06780.2	orthologue	GO:0047262;GO:0005794;GO:0045489;GO:0016757;GO:0000139;GO:0071555	Hexosyltransferase (EC 2.4.1.-);Probable galacturonosyltransferase 6 (EC 2.4.1.-)
CARHR006480	60	AT1G06780.2	AT1G06780.2	other	GO:0047262;GO:0005794;GO:0045489;GO:0016757;GO:0000139;GO:0071555	Hexosyltransferase (EC 2.4.1.-);Probable galacturonosyltransferase 6 (EC 2.4.1.-)
CARHR006490	208	AT1G06790.1	AT1G06790.1	orthologue	GO:0005634;GO:0008380;GO:0005666;GO:0006384;GO:0003674;GO:0016070;GO:0000428;GO:0006352;GO:0006351	DNA-directed RNA polymerase subunit
CARHR006500	511	AT1G06800.1	AT1G06800.1	orthologue	GO:0005576;GO:0006629;GO:0008970;GO:0004620;GO:0004806;GO:0009507;GO:0047714;GO:0016042	Alpha/beta-Hydrolases superfamily protein;Phospholipase A1-Igamma1, chloroplastic (EC 3.1.1.-) (DAD1-like lipase 4)
CARHR006510	594	AT1G06820.1	AT1G06820.1	orthologue	GO:0046608;GO:0016117;GO:0009662;GO:0009507;GO:0016491;GO:0031969;GO:0016116	Prolycopene isomerase, chloroplastic (CrtISO) (EC 5.2.1.13) (Carotenoid and chloroplast regulation protein 2) (Carotenoid isomerase);prolycopene isomerase (EC 5.2.1.13)
CARHR006520	99	AT1G06830.1	AT1G06830.1	orthologue	GO:0005634;GO:0005737;GO:0005515;GO:0006995;GO:0046872;GO:0051537	Monothiol glutaredoxin-S11 (AtGrxS11) (Protein ROXY 6)
CARHR006530	948	AT1G06840.1	AT1G06840.1	orthologue	GO:0006468;GO:0005515;GO:0005886;GO:0044024;GO:0004674;GO:0005576;GO:0005524;GO:0106310;GO:0004672	Probable LRR receptor-like serine/threonine-protein kinase At1g06840 (EC 2.7.11.1)
CARHR006540	333	AT1G06850.1	AT1G06850.1	orthologue	GO:0006355;GO:0031490;GO:0005634;GO:0003700;GO:0000976;GO:0005829;GO:0005515;GO:0005737	AtbZIP transcription factor (Basic leucine-zipper 52) (Similar to bZIP transcription factors);Basic leucine-zipper 52
CARHR006550	360	AT1G06870.1	AT1G06870.1	orthologue	GO:0005886;GO:0004252;GO:0009535;GO:0006465;GO:0010027;GO:0016020;GO:0006508;GO:0008236	Probable thylakoidal processing peptidase 2, chloroplastic (EC 3.4.21.89) (Signal peptidase I-2)
CARHR006560	356	AT1G06890.1	AT1G06890.1	orthologue	GO:0015790;GO:0015297;GO:0005886;GO:0005464;GO:0005794;GO:0005802;GO:0055085;GO:0005768;GO:0000139;GO:0016020	Nodulin MtN21 /EamA-like transporter family protein;UDP-xylose transporter 3
CARHR006570	1027	AT1G06900.1	AT1G06900.1	orthologue	GO:0004222;GO:0008150;GO:0005737;GO:0005829;GO:0006508;GO:0046872	Nardilysin-like (EC 3.4.24.61) (N-arginine dibasic convertase-like) (NRD convertase-like) (NRD-C)
CARHR006580	376	AT1G06910.1	AT1G06910.1	orthologue	GO:0005575;GO:0003674;GO:0005634	MYB transcription factor (TRF-like 7)
CARHR006590	301	AT1G06920.1	AT1G06920.1	orthologue	GO:0003677;GO:0045892;GO:0005634;GO:0071548;GO:2000652	Transcription repressor OFP4 (Ovate family protein 4) (AtOFP4)
CARHR006600	172	AT1G06923.1	AT1G06923.1	orthologue	GO:0003674;GO:0008150;GO:0005739;GO:0005634;GO:0045892	Transcription repressor OFP17-like protein
CARHR006610	165	AT1G06930.1	AT1G06930.1	orthologue	GO:0008150;GO:0005634;GO:0003674	Expressed protein (TPRXL)
CARHR006620	1016	AT1G06950.1	AT1G06950.1	orthologue	GO:0031897;GO:0009941;GO:0009658;GO:0045037;GO:0005515;GO:0009536;GO:0009507;GO:0061927;GO:0005576	Protein TIC110, chloroplastic (Translocon at the inner envelope membrane of chloroplasts 110) (AtTIC110)
CARHR006630	217	AT1G06960.1	AT1G06960.1	orthologue	GO:0005686;GO:0005634;GO:0000398;GO:0009631;GO:0015030;GO:0005654;GO:0003674;GO:0003723;GO:0005681;GO:0005737;GO:0006397;GO:0008380;GO:0003676	RNA-binding (RRM/RBD/RNP motifs) family protein;U2 small nuclear ribonucleoprotein B'' 2 (U2 snRNP B'' 2)
CARHR006640	828	AT1G06970.1	AT1G06970.1	orthologue	GO:0015385;GO:0098662;GO:0006812;GO:0012505;GO:0006885;GO:1902600;GO:0006813;GO:0015297;GO:0016020;GO:0055085	Cation/H(+) antiporter 14 (Protein CATION/H+ EXCHANGER 14) (AtCHX14)
CARHR006650	167	AT1G06980.1	AT1G06980.1	orthologue	GO:0005575;GO:0003674	6,7-dimethyl-8-ribityllumazine synthase (At1g06980) (F10K1.30 protein)
CARHR006660	358	AT1G06990.1	AT1G06990.1	orthologue	GO:0008150;GO:0016788;GO:0005576;GO:0016042	GDSL esterase/lipase At1g06990 (EC 3.1.1.-) (Extracellular lipase At1g06990)
CARHR006670	361	AT2G24560.1	AT2G24560.1	other	GO:0008150;GO:0009507;GO:0016788;GO:0005576;GO:0016042	GDSL esterase/lipase At2g24560 (EC 3.1.1.-) (Extracellular lipase At2g24560);GDSL-like Lipase/Acylhydrolase family protein
CARHR006680	601	AT1G07000.1	AT1G07000.1	orthologue	GO:0009620;GO:1900150;GO:0005737;GO:1900426;GO:0005546;GO:0005886;GO:0009617;GO:0005515;GO:0000145;GO:0006887;GO:0002238;GO:0002237;GO:0042545;GO:1902290;GO:0005829;GO:0009414;GO:0005634;GO:0070062;GO:0090333;GO:0006952;GO:0045335	Exocyst complex component EXO70B2 (AtExo70b2) (Exocyst subunit Exo70 family protein B2)
CARHR006690	567	AT2G30210.1	AT2G30210.1	other	GO:0052716;GO:0005576;GO:0005507;GO:0048226;GO:0016491;GO:0046274;GO:0048046	Laccase-3 (EC 1.10.3.2) (Benzenediol:oxygen oxidoreductase 3) (Diphenol oxidase 3) (Urishiol oxidase 3)
CARHR006700	389	AT1G07010.3	AT1G07010.3	orthologue	GO:0030145;GO:0005777;GO:0009507;GO:0016787;GO:0016791;GO:0004721	Calcineurin-like metallo-phosphoesterase superfamily protein;Shewanella-like protein phosphatase 1 (AtSLP1) (EC 3.1.-.-)
