Brassica_napus	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_013644780.1	267	AT1G64520.1	AT1G64520.1	orthologue	GO:0009647;GO:0005634;GO:0009908;GO:0006511;GO:0009941;GO:0048825;GO:0051788;GO:0005838;GO:0000502;GO:0030163;GO:0009408;GO:0008541;GO:0009735;GO:0009733;GO:0043161;GO:0031540;GO:0043248;GO:0048366;GO:0005515;GO:0048528;GO:0009736;GO:0005829;GO:0006508	26S proteasome non-ATPase regulatory subunit 8 homolog A (26S proteasome regulatory subunit RPN12a) (AtRPN12a) (26S proteasome regulatory subunit S14 homolog A)
XP_013644781.1	209	AT1G64510.2	AT1G64510.2	orthologue	GO:0009507;GO:0009535;GO:0003735;GO:0019843;GO:0009579;GO:0005840;GO:0003729;GO:0005634;GO:0070181;GO:0006412;GO:1990904;GO:0003746	Small ribosomal subunit protein bS6c (30S ribosomal protein S6 alpha, chloroplastic);Translation elongation factor EF1B/ribosomal protein S6 family protein
XP_013644782.1	115	AT1G64490.1	AT1G64490.1	orthologue	GO:0008150;GO:0005634;GO:0003674;GO:0003713;GO:0005667	At1g64490 (DEK, chromatin associated protein) (F1N19.6)
XP_013644786.2	364	AT1G05270.1	AT1G05270.1	orthologue	GO:0005741;GO:0005886;GO:0140474;GO:0000423;GO:0005515	At1g05270 (TraB family protein)
XP_013644790.1	408	AT2G03810.1	AT2G03810.1	orthologue	GO:0009786;GO:0005886;GO:0003674	18S pre-ribosomal assembly protein gar2-like protein
XP_013644797.1	630	AT2G03880.1	AT2G03880.1	orthologue	GO:0005739;GO:0009451;GO:0003723;GO:0008270;GO:0005515	Pentatricopeptide repeat-containing protein At2g03880, mitochondrial
XP_013644800.2	787	AT2G04030.1	AT2G04030.1	orthologue	GO:0009570;GO:0006457;GO:0009651;GO:0005524;GO:0034605;GO:0009793;GO:0009507;GO:0009941;GO:0051082;GO:0009414;GO:0005739;GO:0009408;GO:0000325;GO:0009536;GO:0045037;GO:0032991;GO:0009704;GO:0005886;GO:0005515;GO:0010157;GO:0048471;GO:0140662;GO:0050821;GO:0016887;GO:0042803;GO:0005829	Heat shock protein 90-5, chloroplastic (AtHSP90.5) (AtHsp90-5) (Heat shock protein 88-1) (Hsp88-1) (Hsp90C) (Protein EMBRYO DEFECTIVE 1956) (Protein chlorate-resistance 88)
XP_013644802.1	643	AT3G25560.3	AT3G25560.3	orthologue	GO:0005515;GO:0005886;GO:0004674;GO:0004672;GO:0005524;GO:0006952;GO:0106310;GO:0016020;GO:0048638;GO:0006468	Protein NSP-INTERACTING KINASE 2 (EC 2.7.11.1) (LRR receptor-like serine/threonine-protein kinase NIK2);non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_013644803.1	389	AT3G25585.1	AT3G25585.1	orthologue	GO:0008654;GO:0004307;GO:0004142;GO:0005575;GO:0006646;GO:0016780;GO:0016020;GO:0046872	Aminoalcoholphosphotransferase;Choline/ethanolaminephosphotransferase 2 (EC 2.7.8.1) (EC 2.7.8.2) (Aminoalcohol phosphotransferase 2) (AtAAPT2)
XP_013644804.2	391	AT3G25590.1	AT3G25590.1	orthologue	GO:0005634;GO:0003674	At3g25590 (Micronuclear linker histone polyprotein-like protein)
XP_013644805.2	1203	AT3G25610.1	AT3G25610.1	orthologue	GO:0000287;GO:0045332;GO:0015914;GO:0016887;GO:0140333;GO:0005886;GO:1901703;GO:0015662;GO:0005739;GO:0090554;GO:0140326;GO:0005524;GO:0016020;GO:0000166;GO:0005215	Phospholipid-transporting ATPase 10 (AtALA10) (EC 7.6.2.1) (Aminophospholipid flippase 10)
XP_013644806.1	666	AT3G25620.2	AT3G25620.2	orthologue	GO:0140359;GO:0005886;GO:0042626;GO:0016887;GO:0055085;GO:0005524;GO:0016020	ABC transporter G family member 21 (ABC transporter ABCG.21) (AtABCG21) (White-brown complex homolog protein 21) (AtWBC21)
XP_013644807.1	474	AT3G25670.1	AT3G25670.1	orthologue	GO:0005575;GO:0003674;GO:0007165;GO:0005886;GO:0009620;GO:0038023;GO:0005515	Leucine-rich repeat (LRR) family protein
XP_013644809.2	451	AT3G25700.1	AT3G25700.1	orthologue	GO:0004190;GO:0005576;GO:0006508	At3g25700 (Chloroplast nucleoid DNA binding protein-like nucellin-like protein) (Eukaryotic aspartyl protease family protein);Eukaryotic aspartyl protease family protein
XP_013644810.1	335	AT3G25710.1	AT3G25710.1	orthologue	GO:0006355;GO:0080147;GO:0048364;GO:0005515;GO:0009718;GO:0016036;GO:0005634;GO:0003700;GO:0046983;GO:0003677	Transcription factor AIG1 (AtAIG1) (Basic helix-loop-helix protein 32) (AtbHLH32) (bHLH 32) (Protein TARGET OF MOOPTEROS 5) (Transcription factor EN 54) (bHLH transcription factor bHLH032)
XP_013644811.2	390	AT2G13630.1, AT3G04660.1	AT3G04660.1	orthologue	GO:0005737;GO:0016567;GO:0005634;GO:0003674;GO:0008150;GO:0005575;GO:0005515	F-box associated ubiquitination effector family protein;F-box/kelch-repeat protein At3g04660
XP_013644813.1	344	AT3G25730.1	AT3G25730.1	orthologue	GO:0005634;GO:0000976;GO:0003700;GO:0006355;GO:0009873;GO:0003677	AP2/ERF and B3 domain-containing transcription factor ARF14 (Protein AUXIN RESPONSE FACTOR 14) (RAV1-like ethylene-responsive transcription factor ARF14)
XP_013644815.1	587	AT1G13320.1	AT1G13320.1	orthologue	GO:0042325;GO:0005886;GO:0019888;GO:0005634;GO:0005576;GO:0005829;GO:0000159;GO:0006470;GO:0005515;GO:0009505;GO:0005737	Protein phosphatase 2A subunit A3;Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A gamma isoform (AtA gamma) (PP2A, subunit A, gamma isoform)
XP_013644816.1	589	AT3G25810.1	AT3G25810.1	orthologue	GO:0050550;GO:0016102;GO:0043693;GO:0009507;GO:0034768;GO:0050551;GO:0080015;GO:0010334;GO:0005515;GO:0050552;GO:0034002;GO:0000287;GO:0010333;GO:0016114;GO:0016829	Beta-myrcene/(E)-beta-ocimene synthase 2, chloroplastic (EC 4.2.3.15) (Terpenoid synthase 24) (AtTPS24)
XP_013644819.1	623	AT3G25810.1	AT3G25810.1	orthologue	GO:0050550;GO:0016102;GO:0043693;GO:0009507;GO:0034768;GO:0050551;GO:0080015;GO:0010334;GO:0005515;GO:0050552;GO:0034002;GO:0000287;GO:0010333;GO:0016829;GO:0016114	Beta-myrcene/(E)-beta-ocimene synthase 2, chloroplastic (EC 4.2.3.15) (Terpenoid synthase 24) (AtTPS24)
XP_013644820.1	199	AT3G15190.1	AT3G15190.1	orthologue	GO:0009570;GO:0006412;GO:0009507;GO:0003735;GO:0009941;GO:0070181;GO:0015935;GO:0005829;GO:0003729;GO:0005840;GO:0019843;GO:1990904;GO:0003723	Small ribosomal subunit protein bS20c (30S ribosomal protein S20, chloroplastic)
XP_013644822.1	477	AT3G25860.1	AT3G25860.1	orthologue	GO:0006086;GO:0022626;GO:0009507;GO:0009941;GO:0005829;GO:0009534;GO:0004742;GO:0009570;GO:0045254;GO:0006096;GO:0016746	Dihydrolipoyllysine-residue acetyltransferase component 4 of pyruvate dehydrogenase complex, chloroplastic (EC 2.3.1.12) (Dihydrolipoamide S-acetyltransferase component 4 of pyruvate dehydrogenase complex) (Pyruvate dehydrogenase complex component E2 4) (PDC-E2 4) (PDCE2 4) (plE2)
XP_013644823.1	166	AT3G25870.1	AT3G25870.1	orthologue	GO:0005634;GO:0003674	Uncharacterized protein
XP_013644824.1	317	AT3G25890.1	AT3G25890.1	orthologue	GO:0005515;GO:0006355;GO:0005634;GO:0003700;GO:0003677;GO:0009873	Ethylene-responsive transcription factor ERF119
XP_013644825.1	326	AT3G25900.1	AT3G25900.1	orthologue	GO:0008270;GO:0005737;GO:0009086;GO:0033528;GO:0061627;GO:0008898;GO:0032259;GO:0008168	Homocysteine S-methyltransferase 1 (EC 2.1.1.10) (S-methylmethionine:homocysteine methyltransferase 1) (AtHMT-1) (SMM:Hcy S-methyltransferase 1);Homocysteine S-methyltransferase family protein
XP_013644827.1	271	AT3G25920.1	AT3G25920.1	orthologue	GO:0009570;GO:0009507;GO:0009941;GO:0000311;GO:0022625;GO:0003735;GO:0005829;GO:0003729;GO:0006412;GO:0005840;GO:0015934	Large ribosomal subunit protein uL15c (50S ribosomal protein L15, chloroplastic) (CL15)
XP_013644828.1	318	AT3G25910.1	AT3G25910.1	orthologue	GO:0071472;GO:0005634;GO:0001216;GO:0006873;GO:0003700;GO:0016301	AT3g25910/MPE11_6 (MAP kinase kinase kinase, putative (DUF1644))
XP_013644832.2	431	AT3G26000.1	AT3G26000.1	orthologue	GO:0009788;GO:0005515;GO:0016567;GO:0005634;GO:0005737;GO:0005829	F-box protein SKIP14 (SKP1-interacting partner 14)
XP_013644833.2	499	AT3G26020.4	AT3G26020.4	orthologue	GO:0005737;GO:0034605;GO:0005634;GO:0005829;GO:0005515;GO:0000159;GO:0000398;GO:0019888;GO:0007165;GO:0005730;GO:0006952;GO:0009742	Serine/threonine protein phosphatase 2A 59 kDa regulatory subunit B' eta isoform (AtB' eta) (PP2A, B' subunit, eta isoform);Serine/threonine protein phosphatase 2A regulatory subunit
XP_013644836.2	474	AT3G26030.1	AT3G26030.1	orthologue	GO:0005634;GO:0007165;GO:0000159;GO:0005737;GO:0005730;GO:0019888;GO:0005515	Serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B' delta isoform (AtB' delta) (PP2A, B' subunit, delta isoform)
XP_013644837.2	243	AT3G26070.1, AT3G26080.2	AT3G26070.1	orthologue	GO:0009535;GO:0005829;GO:0009507;GO:0010287;GO:0009534;GO:0008150;GO:0003674	Plastid-lipid associated protein PAP / fibrillin family protein;Probable plastid-lipid-associated protein 4, chloroplastic (Fibrillin-3a) (Plastoglobulin 25) (AtPGL25);Probable plastid-lipid-associated protein 5, chloroplastic (Fibrillin-3b)
XP_013644839.2	293	AT3G26085.2	AT3G26085.2	orthologue	GO:0071586;GO:0009507;GO:0004222;GO:0004175;GO:0006508;GO:0016020;GO:0080120	CAAX amino terminal protease family protein
XP_013644841.2	529	AT3G26100.2	AT3G26100.2	orthologue	GO:0005737;GO:0003674	Regulator of chromosome condensation (RCC1) family protein
XP_013644843.2	788	AT3G15354.3	AT3G15354.3	orthologue	GO:0005515;GO:0005524;GO:0005634;GO:0009640;GO:0004672;GO:0042802;GO:0080008;GO:0009585;GO:0016740;GO:0006468	Protein SPA1-RELATED 3;SPA1-related 3
XP_013644845.2	415	AT3G26115.1	AT3G26115.1	orthologue	GO:0009093;GO:0019148;GO:0080146;GO:0009507;GO:0005739;GO:0016846;GO:0016829	D-cysteine desulfhydrase (EC 4.4.1.15);D-cysteine desulfhydrase 2, mitochondrial (EC 4.4.1.15) (AtD-CDes1) (D-CDes1);Pyridoxal-5'-phosphate-dependent enzyme family protein
XP_013644847.2	436	AT3G26160.1, AT3G26150.1	AT3G26160.1	orthologue	GO:0005506;GO:0008150;GO:0005576;GO:0020037;GO:0016705;GO:0005575;GO:0004497;GO:0016020	Cytochrome P450 71B16 (EC 1.14.-.-);Cytochrome P450 71B17 (EC 1.14.-.-)
XP_013644853.1	499	AT3G26190.1	AT3G26190.1	orthologue	GO:0016705;GO:0020037;GO:0005575;GO:0005506;GO:0004497;GO:0016020	Cytochrome P450 71B21 (EC 1.14.-.-)
XP_013644855.2	429	AT3G15350.1	AT3G15350.1	orthologue	GO:0005794;GO:0015020;GO:0016757;GO:0016020	AT3g15350/K7L4_15 (Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein) (Glycosylation enzyme-like protein) (Glycosyltransferase)
XP_013644857.1	1135	AT2G01130.1	AT2G01130.1	orthologue	GO:0005634;GO:0008150;GO:0003676;GO:0003724;GO:0004386;GO:0003723;GO:0005524;GO:0005739;GO:0016887;GO:0016787;GO:0005622	DExH-box ATP-dependent RNA helicase DExH5, mitochondrial (EC 3.6.4.13);RNA helicase (EC 3.6.4.13)
XP_013644858.1	417	AT2G01120.2	AT2G01120.2	orthologue	GO:0005664;GO:0006270;GO:0005515;GO:0016887;GO:0006260;GO:0005524;GO:0000808;GO:0005634;GO:0003688;GO:0003677;GO:0009744	Origin of replication complex subunit 4;Origin of replication complex subunit 4 (AtORC4)
XP_013644859.1	151	AT2G01150.2	AT2G01150.2	orthologue	GO:0061630;GO:0047484;GO:0016567;GO:0005737;GO:0009789;GO:0071456;GO:0005634;GO:0005739;GO:0004842;GO:0005515;GO:0000976;GO:0008270;GO:0009738	E3 ubiquitin-protein ligase RHA2B (EC 2.3.2.27) (RING-H2 finger A2b) (RING-H2 zinc finger protein RHA2b) (RING-type E3 ubiquitin transferase RHA2B);RING-H2 finger protein 2B
XP_013644860.2	517	AT2G01170.1	AT2G01170.1	orthologue	GO:0015812;GO:0015189;GO:0006865;GO:0055085;GO:0005313;GO:0005739;GO:0015180;GO:0015185;GO:0031966;GO:0016020;GO:0022857	Amino-acid permease BAT1 (Bidirectional amino acid transporter 1) (GABA permease) (AtGABP);At2g01170 (Bidirectional amino acid transporter 1)
XP_013644861.2	323	AT2G01180.3	AT2G01180.3	orthologue	GO:0006644;GO:0005886;GO:0071456;GO:0010224;GO:0009507;GO:0008195;GO:0016020;GO:0046839;GO:0009626	Lipid phosphate phosphatase 1 (AtLPP1) (EC 3.1.3.-) (Phosphatidic acid phosphatase 1) (AtPAP1) (Prenyl diphosphate phosphatase);Phosphatidic acid phosphatase 1
XP_013644862.1	724	AT2G01190.1	AT2G01190.1	orthologue	GO:0005737;GO:0005515;GO:0012505;GO:0005634	Expressed protein (Octicosapeptide/Phox/Bem1p family protein)
XP_013644863.3	708	AT2G01210.1	AT2G01210.1	orthologue	GO:0005524;GO:0005515;GO:0016301;GO:0046777;GO:0004674;GO:0009507;GO:0005576;GO:0009570;GO:0005886;GO:0010069;GO:0090406;GO:0009505;GO:0099503;GO:0010070;GO:0106310;GO:0004672;GO:0006468	Receptor protein kinase-like protein ZAR1 (EC 2.7.11.1) (Protein ZYGOTIC ARREST 1)
XP_013644865.1	407	AT3G27610.1	AT3G27610.1	orthologue	GO:0034356;GO:0005634;GO:0009507;GO:0005737;GO:0000309;GO:0016887;GO:0009058;GO:0034355;GO:0016740;GO:0003824	At3g27610 (Nucleotidylyl transferase superfamily protein);Nucleotidylyl transferase superfamily protein
XP_013644867.2	276	AT3G15356.1, AT3G16530.1	AT3G16530.1	orthologue	GO:0003674;GO:0002239;GO:0009505;GO:0005829;GO:0005576;GO:0005634;GO:0048046;GO:0010200;GO:0071323;GO:0071395;GO:0009611;GO:0071369;GO:0030246;GO:0009873;GO:0050832	Lectin-like protein At3g16530;Lectin-like protein LEC (AtLEC) (Ath.lec2)
XP_013644870.2	267	AT2G01275.3	AT2G01275.3	orthologue	GO:0008270;GO:0016567;GO:0004842;GO:0016020	At2g01275 (RING/FYVE/PHD zinc finger superfamily protein);RING/FYVE/PHD zinc finger superfamily protein
XP_013644873.1	242	AT2G01250.1	AT2G01250.1	orthologue	GO:0005773;GO:0005737;GO:0005739;GO:0009505;GO:0022625;GO:0000325;GO:0009507;GO:0003723;GO:0022626;GO:0000463;GO:0003735;GO:0003729;GO:0005840;GO:1990904	AT2G01250 protein (Ribosomal protein L30/L7 family protein);Large ribosomal subunit protein uL30y (60S ribosomal protein L7-2)
XP_013644874.2	265	AT2G01290.1	AT2G01290.1	orthologue	GO:0009052;GO:0005737;GO:0009507;GO:0010228;GO:0004751;GO:0008219	Probable ribose-5-phosphate isomerase 2 (EC 5.3.1.6) (Phosphoriboisomerase 2)
XP_013644875.2	158	AT2G01300.1	AT2G01300.1	orthologue	GO:0003674;GO:0009507;GO:0016020	Mediator of RNA polymerase II transcription subunit (Predicted by genscan and genefinder)
XP_013644876.2	472	AT2G01390.1	AT2G01390.1	orthologue	GO:0008150;GO:0005739;GO:0003729;GO:0005575;GO:0005515	Pentatricopeptide repeat-containing protein At2g01390
XP_013644879.1	346	AT2G01110.1	AT2G01110.1	orthologue	GO:0009507;GO:0043953;GO:0033281;GO:0042651;GO:0065002;GO:0009535;GO:0010027;GO:0043235;GO:0009977;GO:0009567;GO:0016020	Sec-independent protein translocase protein TATC, chloroplastic (Protein ALBINO AND PALE GREEN 2) (Protein TWIN-ARGININE TRANSLOCATION C) (Protein UNFERTILIZED EMBRYO SAC 3)
XP_013644884.2	886	AT4G38590.2	AT4G38590.2	orthologue	GO:0030246;GO:0009505;GO:0000398;GO:0004565;GO:0019388;GO:0005975;GO:0009827;GO:0005576;GO:0005773;GO:0048046;GO:0004553	Beta-galactosidase (EC 3.2.1.23);Beta-galactosidase 14 (Lactase 14) (EC 3.2.1.23)
XP_013644885.1	568	AT4G38530.1	AT4G38530.1	orthologue	GO:0004435;GO:0005739;GO:0048015;GO:0005886;GO:0051209;GO:0035556;GO:0016042;GO:0046872;GO:0006629;GO:0008081;GO:0007165	Phosphoinositide phospholipase C 3 (EC 3.1.4.11) (Phosphoinositide phospholipase PLC3) (AtPLC1F) (AtPLC3) (PI-PLC3)
XP_013644886.1	401	AT4G38540.1	AT4G38540.1	orthologue	GO:0004497;GO:0005739;GO:0071949;GO:0002239;GO:0005886	Monooxygenase 2 (AtMO2) (EC 1.14.13.-)
XP_013644888.1	153	AT4G38580.1	AT4G38580.1	orthologue	GO:0005634;GO:0032791;GO:0005507;GO:0009506;GO:0005515;GO:0005886;GO:0010286;GO:0046870;GO:0031965;GO:0046872	Heavy metal-associated isoprenylated plant protein 26 (AtHIP26) (AtHIPP26) (Farnesylated protein 6) (AtFP6)
XP_013644889.1	140	AT2G20930.1	AT2G20930.1	other	GO:0005634;GO:0003674;GO:0006888;GO:0005794;GO:0005737;GO:0030008	Trafficking protein particle complex subunit 2-like protein
XP_013644895.1	381	AT4G38630.1	AT4G38630.1	orthologue	GO:0008540;GO:0043248;GO:0051788;GO:0009408;GO:0005886;GO:0006511;GO:0010029;GO:0043161;GO:0009737;GO:0006974;GO:0048767;GO:0048455;GO:0030163;GO:0031593;GO:0001653;GO:0009733;GO:0005515;GO:0048528;GO:0009735;GO:0000502;GO:0005634;GO:0010150;GO:0048366;GO:0005829;GO:0005737;GO:0009744;GO:0009651;GO:0009555	26S proteasome non-ATPase regulatory subunit 4 homolog (26S proteasome regulatory subunit RPN10) (AtRPN10) (26S proteasome regulatory subunit S5A homolog) (Multiubiquitin chain-binding protein 1) (AtMCB1)
XP_013644896.1	294	AT4G38620.1	AT4G38620.1	orthologue	GO:0000976;GO:0005515;GO:2000762;GO:0000987;GO:0006355;GO:0045892;GO:1903086;GO:0010224;GO:0003677;GO:0003700;GO:0005634	Transcription repressor MYB4 (Myb-related protein 4) (AtMYB4)
XP_013644899.2	72	AT3G15352.4	AT3G15352.4	orthologue	GO:0009617;GO:0005507;GO:0005739;GO:0016531;GO:0046688;GO:0009507;GO:0005758;GO:0016020	Cytochrome c oxidase 17;Cytochrome c oxidase copper chaperone 1 (Cytochrome c oxidase 17 copper chaperone) (AtCOX17)
XP_013644900.1	172	AT4G38740.1	AT4G38740.1	orthologue	GO:0001932;GO:0009785;GO:0006457;GO:0005829;GO:0009704;GO:0005737;GO:0009416;GO:0007165;GO:0005886;GO:0003755;GO:0009585;GO:0009742;GO:0016018;GO:0010494;GO:0048046;GO:0009626;GO:0000413	Peptidyl-prolyl cis-trans isomerase CYP18-3 (PPIase CYP18-3) (EC 5.2.1.8) (Cyclophilin of 18 kDa 3) (Cyclosporin A-binding protein) (Rotamase cyclophilin-1)
XP_013644901.2	1959	AT4G38760.1	AT4G38760.1	orthologue	GO:0006606;GO:0006405;GO:0017056;GO:0044611;GO:0005634	Nucleoporin (DUF3414)
XP_013644903.2	377	AT4G38810.2	AT4G38810.2	orthologue	GO:0005509;GO:0005737;GO:0005515;GO:0005634;GO:0005829;GO:0004860;GO:0005886	Calcium-binding EF-hand family protein (EF-Hand containing protein-like) (Putative EF-hand containing protein);Calcium-binding EF-hand family protein (EF-hand containing protein-like)
XP_013644909.1	445	AT4G38900.1	AT4G38900.1	orthologue	GO:0006355;GO:0090567;GO:0005829;GO:0003700;GO:0042803;GO:0000976;GO:0005634;GO:0043565;GO:0005737	bZIP transcription factor 29 (AtbZIP29) (Protein DRINK ME-LIKE)
XP_013644911.1	386	AT4G38940.1	AT4G38940.1	orthologue	GO:0005634;GO:0016567;GO:0003674;GO:0005515	F-box/kelch-repeat protein At4g38940
XP_013644912.1	262	AT4G38910.2	AT4G38910.2	orthologue	GO:0005634;GO:0003700;GO:0003677;GO:0043565;GO:0009723;GO:0005515	Protein BASIC PENTACYSTEINE5 (AtBPC5) (GAGA-motif binding transcriptional activator BBR/BPC5)
XP_013644913.1	164	AT1G19910.1, AT1G75630.2, AT2G16510.1, AT4G34720.1, AT4G38920.1	AT4G38920.1	other	GO:0000325;GO:0016887;GO:0009507;GO:0046961;GO:0005773;GO:0033179;GO:0016020;GO:0005886;GO:0005515;GO:0000220;GO:0005737;GO:0005774;GO:1902600;GO:0015078;GO:0033177	V-type proton ATPase proteolipid subunit;V-type proton ATPase subunit c1 (V-ATPase subunit c1) (V-type proton ATPase 16 kDa proteolipid subunit c1) (V-ATPase 16 kDa proteolipid subunit c1) (Vacuolar H(+)-ATPase subunit c isoform 1) (Vacuolar proton pump 16 kDa proteolipid subunit c1) (Vacuolar proton pump subunit c1);V-type proton ATPase subunit c2 (V-ATPase subunit c2) (V-type proton ATPase 16 kDa proteolipid subunit c2) (V-ATPase 16 kDa proteolipid subunit c2) (Vacuolar H(+)-ATPase subunit c isoform 2) (Vacuolar proton pump 16 kDa proteolipid subunit c2) (Vacuolar proton pump subunit c2);V-type proton ATPase subunit c3 (V-ATPase subunit c3) (V-type proton ATPase 16 kDa proteolipid subunit c3) (V-ATPase 16 kDa proteolipid subunit c3) (Vacuolar H(+)-ATPase subunit c isoform 3) (Vacuolar proton pump 16 kDa proteolipid subunit c3) (Vacuolar proton pump subunit c3);V-type proton ATPase subunit c4 (V-ATPase subunit c4) (V-type proton ATPase 16 kDa proteolipid subunit c4) (V-ATPase 16 kDa proteolipid subunit c4) (Vacuolar H(+)-ATPase subunit c isoform 4) (Vacuolar proton pump 16 kDa proteolipid subunit c4) (Vacuolar proton pump subunit c4);V-type proton ATPase subunit c5 (V-ATPase subunit c5) (V-type proton ATPase 16 kDa proteolipid subunit c5) (V-ATPase 16 kDa proteolipid subunit c5) (Vacuolar H(+)-ATPase subunit c isoform 5) (Vacuolar proton pump 16 kDa proteolipid subunit c5) (Vacuolar proton pump subunit c5)
XP_013644914.2	398	AT4G38970.1	AT4G38970.1	orthologue	GO:0009570;GO:0006096;GO:0005829;GO:0009507;GO:0010287;GO:0006094;GO:0004332;GO:0009579;GO:0006098;GO:0009737;GO:0009941;GO:0048046;GO:0003729;GO:0030388;GO:0005886	Fructose-bisphosphate aldolase (EC 4.1.2.13);Fructose-bisphosphate aldolase 2, chloroplastic (AtFBA2) (EC 4.1.2.13)
XP_013644915.1	326				GO:0003676;GO:0004523	
XP_013644918.1	597	AT3G15355.1	AT3G15355.1	orthologue	GO:0061631;GO:0016567;GO:0005634;GO:0005524	Probable ubiquitin-conjugating enzyme E2 25 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 25) (Ubiquitin carrier protein 25)
XP_013644920.2	513	AT4G36220.1	AT4G36220.1	other	GO:0005886;GO:0009809;GO:0005783;GO:0005515;GO:0016705;GO:0009699;GO:0005506;GO:0004497;GO:0010224;GO:0020037;GO:0046424	Cytochrome P450 84A1 (EC 1.14.-.-) (Ferulate-5-hydroxylase) (F5H)
XP_013644921.1	242	AT1G75560.1	AT1G75560.1	other	GO:0005634;GO:0003729;GO:0008270;GO:0003677;GO:0003676	DNA-binding protein (Zinc knuckle (CCHC-type) family protein)
XP_013644923.2	1052	AT4G39050.1	AT4G39050.1	orthologue	GO:0008017;GO:0005737;GO:0003777;GO:0007018;GO:0005874;GO:0005634;GO:0031347;GO:0005871;GO:0016887;GO:0005524;GO:0005739;GO:0008270	Kinesin-like protein KIN-7D, mitochondrial (Mitochondria-targeted kinesin-related protein 2)
XP_013644925.2	277	AT4G39040.1	AT4G39040.1	orthologue	GO:0009507;GO:0003729;GO:0005886;GO:0003723	At4g39040 (RNA-binding CRS1 / YhbY (CRM) domain protein);RNA-binding CRS1 / YhbY (CRM) domain protein
XP_013644926.3	939	AT4G39110.1	AT4G39110.1	orthologue	GO:0016301;GO:0004672;GO:0004714;GO:0080092;GO:0016324;GO:0005515;GO:0009507;GO:0005886;GO:0009555;GO:0004674;GO:0005524;GO:0006468	Probable receptor-like protein kinase At4g39110 (EC 2.7.11.-)
XP_013644931.1	318	AT3G15460.1	AT3G15460.1	orthologue	GO:0006364;GO:0019843;GO:0005730;GO:0000027;GO:0003723;GO:0005634	Ribosome biogenesis protein BRX1 homolog 1 (AtBRX1-1) (Brix domain-containing protein 2)
XP_013644936.2	420	AT4G39140.1	AT4G39140.1	orthologue	GO:0003674;GO:0005634;GO:0008270	RING finger family protein (RING/U-box superfamily protein)
XP_013644943.2	278	AT4G39190.1	AT4G39190.1	orthologue	GO:0005575;GO:0003674;GO:0016020	Nucleolar-like protein
XP_013644945.1	108	AT4G39200.1	AT4G39200.1	orthologue	GO:0005886;GO:0008150;GO:0022627;GO:0022626;GO:0003729;GO:0005737;GO:0003735;GO:0005840;GO:1990904	40S ribosomal protein S25;Small ribosomal subunit protein eS25w (40S ribosomal protein S25-4)
XP_013644948.1	97	AT4G39235.1	AT4G39235.1	orthologue	GO:0008150;GO:0005634;GO:0003674	At4g39235
