Brassica_rapa	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_009117543.1	319	AT1G19350.3	AT1G19350.3	orthologue	GO:0009507;GO:0006351;GO:0005737;GO:0005515;GO:0009742;GO:0005634;GO:0003677;GO:0042742;GO:0006355;GO:0140110;GO:0005829;GO:0000978;GO:0071367;GO:0045892;GO:0003700;GO:0009650;GO:1904961	Protein BRASSINAZOLE-RESISTANT 2 (Protein 107) (Protein BIN2 SUBSTRATE 1) (Protein BRI1-EMS-SUPPRESSOR 1);Protein BZR1 homolog (Protein BRASSINAZOLE-RESISTANT 1 homolog)
XP_009117548.1	237	AT1G19330.3	AT1G19330.3	orthologue	GO:0006355;GO:0005634;GO:0042752;GO:0005515;GO:0003712;GO:0000118	At1g19330 (Histone deacetylase complex subunit);F18O14.5 (Histone deacetylase complex subunit);Histone deacetylase complex subunit
XP_009117552.1	246	AT1G19320.1	AT1G19320.1	orthologue	GO:0005576;GO:0003674	At1g19320 (F18O14.4) (Pathogenesis-related thaumatin superfamily protein)
XP_009117554.1	526	AT1G19250.1	AT1G19250.1	orthologue	GO:0009627;GO:0042742;GO:0062034;GO:0050660;GO:0031543;GO:0050832;GO:0062047;GO:0009626;GO:0071456;GO:0009507;GO:0051707;GO:0050661;GO:0004499;GO:0016491	Probable flavin-containing monooxygenase 1 (EC 1.14.13.-)
XP_009117555.1	526	AT1G19250.1	AT1G19250.1	orthologue	GO:0009627;GO:0042742;GO:0062034;GO:0050660;GO:0031543;GO:0050832;GO:0062047;GO:0009626;GO:0071456;GO:0009507;GO:0051707;GO:0050661;GO:0004499;GO:0016491	Probable flavin-containing monooxygenase 1 (EC 1.14.13.-)
XP_009117558.1	191	AT1G19210.1	AT1G19210.1	orthologue	GO:0003700;GO:0006355;GO:0000976;GO:0005634;GO:0009873;GO:0003677	Ethylene-responsive transcription factor ERF017
XP_009117559.1	731	AT3G13682.1	AT3G13682.1	orthologue	GO:0042800;GO:0005515;GO:0005739;GO:0016491;GO:0008150;GO:0006325	Lysine-specific histone demethylase 1 homolog 2 (EC 1.-.-.-) (Flavin-containing amine oxidase domain-containing protein 2) (Protein LSD1-LIKE 2)
XP_009117560.1	308	AT1G19190.1	AT1G19190.1	orthologue	GO:0016787;GO:0005634;GO:0106435;GO:0005886	Probable carboxylesterase 1 (AtCXE1) (EC 3.1.1.1)
XP_009117562.1	273	AT1G19180.1	AT1G19180.1	orthologue	GO:1900067;GO:0031347;GO:0005634;GO:0005515;GO:0009753;GO:0009555;GO:0042742;GO:0009867;GO:0009611;GO:2000022;GO:0009908;GO:0042802;GO:0005886	Protein TIFY (Jasmonate ZIM domain-containing protein);Protein TIFY 10A (Jasmonate ZIM domain-containing protein 1)
XP_009117563.1	128	AT1G19120.1	AT1G19120.1	orthologue	GO:0009414;GO:0003723;GO:0006397;GO:0003729;GO:0042538;GO:0000290;GO:0000932;GO:0005634;GO:0016070;GO:1990726;GO:0009631;GO:0005515;GO:1990904;GO:0000956	Sm-like protein LSM1A (AtLSM1a)
XP_009117566.2	754	AT1G19110.1	AT1G19110.1	orthologue	GO:0003674;GO:0005576;GO:0005634	Inter-alpha-trypsin inhibitor heavy chain-like protein
XP_009117569.2	593	AT1G19025.1	AT1G19025.1	orthologue	GO:0005634;GO:0036297;GO:0006303;GO:0035312;GO:0003684;GO:0006281	DNA repair metallo-beta-lactamase family protein
XP_009117571.1	270	AT1G19000.1	AT1G19000.1	orthologue	GO:0006355;GO:0000976;GO:0009723;GO:0009739;GO:0003700;GO:0005634;GO:0003677	AT1G19000 protein (F14D16.15) (Homeodomain-like superfamily protein) (Putative Myb-related transcription activator protein)
XP_009117572.1	511	AT1G18990.1	AT1G18990.1	orthologue	GO:0080115;GO:0005737;GO:0005811;GO:0016020;GO:0017022	Probable myosin-binding protein 5
XP_009117573.1	214	AT1G18970.1, AT1G18980.1	AT1G18980.1	orthologue	GO:0005576;GO:0030145;GO:0048046	Germin-like protein subfamily T member 1;Germin-like protein subfamily T member 2
XP_009117574.1	762	AT1G18950.2	AT1G18950.2	orthologue	GO:0005515;GO:0031010;GO:0005634;GO:0006355;GO:0031213	DDT domain superfamily;DDT domain-containing protein DDR4 (DDT-related protein 4)
XP_009117578.1	1248	AT1G18910.1	AT1G18910.1	orthologue	GO:0010106;GO:0071282;GO:0006511;GO:0033212;GO:0098711;GO:0016567;GO:0008270;GO:0061630;GO:0005515;GO:0010039;GO:0005634;GO:0006879;GO:0034756;GO:0016020;GO:0016874	Zinc finger protein BRUTUS-like At1g18910
XP_009117579.2	592	AT1G18880.1	AT1G18880.1	orthologue	GO:0090408;GO:0005886;GO:0010233;GO:0055085;GO:0015112;GO:1901349;GO:0022857;GO:0016020	Protein NRT1/ PTR FAMILY 2.9 (AtNPF2.9) (Nitrate transporter 1.9)
XP_009117581.2	682	AT3G13670.1	AT3G13670.1	orthologue	GO:0048574;GO:0043687;GO:0004674;GO:0005737;GO:0005634;GO:0035173;GO:0006897;GO:0005515;GO:0007165;GO:0016301;GO:0005524;GO:0004672;GO:0006468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_009117582.1	519	AT1G18860.1	AT1G18860.1	orthologue	GO:0003700;GO:0006355;GO:0005634;GO:0043565	Probable WRKY transcription factor 61 (WRKY DNA-binding protein 61);WRKY DNA-binding protein 61
XP_009117584.2	400	AT3G49130.1	AT3G49130.1	other	GO:0071004;GO:0005686;GO:0005634;GO:0045292;GO:0003723;GO:0071013;GO:0006396;GO:0000381	SWAP (Suppressor-of-White-APricot)/surp RNA-binding domain-containing protein
XP_009117587.1	382	AT1G18740.1	AT1G18740.1	orthologue	GO:1901332;GO:0005886;GO:0005515;GO:0006887;GO:0009631;GO:0009409;GO:0031982;GO:0016192;GO:0019428;GO:0000145;GO:0006904;GO:0005737;GO:0005634;GO:1900140;GO:0009741;GO:0140115;GO:2000012;GO:0009734;GO:0009742	Protein BYPASS1-LIKE
XP_009117588.1	216	AT5G01750.2	AT5G01750.2	other	GO:0005737;GO:0005886;GO:0005829;GO:0003674;GO:0019904	Protein LURP-one-related 15
XP_009117589.1	155	AT5G01750.2	AT5G01750.2	other	GO:0005737;GO:0005886;GO:0005829;GO:0003674;GO:0019904	Protein LURP-one-related 15
XP_009117590.1	198	AT1G18720.1	AT1G18720.1	orthologue	GO:0009507;GO:0009738;GO:0005783;GO:0030149;GO:0005634;GO:0005515;GO:0102672;GO:0046521;GO:0016020	At1g18720/F6A14_17 (ER membrane protein, putative (DUF962)) (F6A14.17 protein)
XP_009117592.1	185	AT3G13662.1	AT3G13662.1	orthologue	GO:0003674;GO:0005576;GO:0009699;GO:0048046	Dirigent protein 8 (AtDIR8)
XP_009117597.1	208	AT5G01750.2	AT5G01750.2	other	GO:0005737;GO:0005886;GO:0005829;GO:0003674;GO:0019904	Protein LURP-one-related 15
XP_009117599.1	267	AT1G18710.1	AT1G18710.1	orthologue	GO:0140547;GO:0010214;GO:0005634;GO:0003700;GO:0005737;GO:0000976;GO:0051707	MYB transcription factor (Myb domain protein 47) (Putative MYB47 transcription factor)
XP_009117602.1	187	AT1G18680.1	AT1G18680.1	orthologue	GO:0009507;GO:0032043;GO:0004519;GO:0005739;GO:0003676;GO:0008270	F6A14.21 protein (HNH endonuclease domain-containing protein)
XP_009117603.1	835	AT1G18620.2	AT1G18620.2	orthologue	GO:0009826;GO:0005634;GO:0051513;GO:0003674	At1g18620 (F26I16.4 protein) (LONGIFOLIA protein);LONGIFOLIA protein
XP_009117604.1	488	AT1G18660.4	AT1G18660.4	orthologue	GO:0005886;GO:0061630;GO:0005515;GO:0005737;GO:0005634;GO:0008270	At1g18660 (Expressed protein) (Zinc finger (C3HC4-type RING finger) family protein);Zinc finger (C3HC4-type RING finger) family protein
XP_009117606.1	184	AT5G49040.1	AT5G49040.1	other	GO:0008150;GO:0003674;GO:0009507;GO:0009699;GO:0048046	Dirigent protein 3 (AtDIR3)
XP_009117607.1	320	AT1G18570.1	AT1G18570.1	orthologue	GO:0009617;GO:0009759;GO:0052544;GO:0000976;GO:0042742;GO:0009682;GO:0009625;GO:0005634;GO:0003700	Transcription factor MYB51 (Myb-related protein 51) (AtMYB51) (Protein HIGH INDOLIC GLUCOSINOLATE 1) (Transcription factor HIG1)
XP_009117609.1	696	AT1G18560.1	AT1G18560.1	orthologue	GO:0005634;GO:0046983;GO:0003677;GO:0008270	BED zinc finger and hAT dimerization domain-containing protein
XP_009117610.1	234	AT1G18540.1	AT1G18540.1	orthologue	GO:0022626;GO:0005783;GO:0022625;GO:0003723;GO:0006412;GO:0009506;GO:0005737;GO:0003729;GO:0002181;GO:0005886;GO:0003735;GO:0005634;GO:0005840;GO:0000027	Large ribosomal subunit protein eL6z (60S ribosomal protein L6-1)
XP_009117611.1	627	AT1G74040.1	AT1G74040.1	orthologue	GO:0009098;GO:0009507;GO:0003852;GO:0009941;GO:0016829;GO:0046872;GO:0009536;GO:0010177;GO:0019761;GO:0019752;GO:0046912;GO:0003824	2-isopropylmalate synthase (EC 2.3.3.13);2-isopropylmalate synthase 1;2-isopropylmalate synthase 2, chloroplastic (EC 2.3.3.13) (2-isopropylmalate synthase 1) (Methylthioalkylmalate synthase-like 3)
XP_009117612.1	468	AT1G18470.1	AT1G18470.1	orthologue	GO:0009789;GO:0009507;GO:0005783;GO:0003674;GO:0005739;GO:0008270;GO:0016020	At1g18470 (Transmembrane Fragile-X-F-associated protein);Transmembrane Fragile-X-F-associated protein
XP_009117613.1	691	AT1G18460.1	AT1G18460.1	orthologue	GO:0003674;GO:0005576;GO:0005811;GO:0006629;GO:0016020;GO:0016298	Alpha/beta-Hydrolases superfamily protein (At1g18460/F15H18_15)
XP_009117615.1	186	AT5G49040.1	AT5G49040.1	orthologue	GO:0008150;GO:0003674;GO:0009507;GO:0009699;GO:0048046	Dirigent protein 3 (AtDIR3)
XP_009117616.1	949	AT1G18370.1	AT1G18370.1	orthologue	GO:0009524;GO:0000911;GO:0009555;GO:0005634;GO:0009558;GO:0007018;GO:0048229;GO:0008017;GO:0003777;GO:0005524;GO:0005874	Kinesin-like protein KIN-7A (NPK1-activating kinesin-1) (AtNACK1) (Protein HINKEL)
XP_009117617.1	168	AT1G18320.1, AT3G10110.1	AT3G10110.1	orthologue	GO:0005739;GO:0051204;GO:0009507;GO:0045039;GO:0042721;GO:0008320;GO:0009793;GO:0030943;GO:0005515	Mitochondrial import inner membrane translocase subunit TIM22-1 (Protein MATERNAL EFFECT EMBRYO ARREST 67);Mitochondrial import inner membrane translocase subunit TIM22-4;Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein
XP_009117618.1	183	AT1G18290.1	AT1G18290.1	orthologue	GO:0005634;GO:0009620;GO:0005575;GO:0003674	DUF4228 domain protein (F15H18.19) (T10O22.26)
XP_009117619.2	181	AT1G18280.1	AT1G18280.1	orthologue	GO:0005886;GO:0003674;GO:0016020;GO:0006508;GO:0008233;GO:0098552	Non-specific lipid transfer protein GPI-anchored 3 (AtLTPG-3) (Protein LTP-GPI-ANCHORED 3)
XP_009117623.1	603	AT3G13640.1	AT3G13640.1	orthologue	GO:0005524;GO:0006415;GO:0006413;GO:0005506;GO:0016887;GO:0022857;GO:0043024;GO:0005575;GO:0016020;GO:0046872;GO:0051539	ABC transporter E family member 1 (ABC transporter ABCE.1) (AtABCE1) (RNase L inhibitor-like protein 1) (AtRLI1) (AthaRLI1)
XP_009117624.1	252	AT1G18170.1	AT1G18170.1	orthologue	GO:0003755;GO:0009535;GO:0009507;GO:0008150;GO:0005634;GO:0009543	Peptidyl-prolyl cis-trans isomerase FKBP17-2, chloroplastic (PPIase FKBP17-2) (EC 5.2.1.8) (FK506-binding protein 17-2) (AtFKBP17-2) (Immunophilin FKBP17-2) (Rotamase)
XP_009117625.2	578	AT1G18150.1	AT1G18150.1	orthologue	GO:0009753;GO:0005634;GO:0035556;GO:0000302;GO:0004707;GO:0009611;GO:0042542;GO:0005516;GO:0007165;GO:0005737;GO:0005524;GO:0106310;GO:0004672;GO:0006468	Mitogen-activated protein kinase 8 (AtMPK8) (MAP kinase 8) (EC 2.7.11.24)
XP_009117626.3	206	AT1G18100.1	AT1G18100.1	orthologue	GO:0010030;GO:0005737;GO:0009737;GO:0003674;GO:0005634;GO:0009738	Protein MOTHER of FT and TFL1
XP_009117627.1	327	AT1G18080.1	AT1G18080.1	orthologue	GO:0005515;GO:0009967;GO:0010228;GO:0060090;GO:0005634;GO:0010476;GO:0072344;GO:0043022;GO:0006417;GO:0005829;GO:2001125;GO:0009739;GO:0022626;GO:0003729;GO:0071215;GO:0009507;GO:0005737;GO:0045182;GO:0005080;GO:0005078;GO:0005886;GO:0009749;GO:0009845;GO:0042254;GO:0003735;GO:1990904	Small ribosomal subunit protein RACK1z (Guanine nucleotide-binding protein subunit beta-like protein A) (Receptor for activated C kinase 1A) (WD-40 repeat auxin-dependent protein ARCA)
XP_009117628.1	528	AT1G18070.3	AT1G18070.3	other	GO:0006412;GO:0000325;GO:0005737;GO:0003924;GO:0003747;GO:0005634;GO:0000288;GO:0018444;GO:0006415;GO:0003746;GO:0005525	Eukaryotic peptide chain release factor GTP-binding subunit (ERF-3) (ERF2) (Polypeptide release factor 3) (Translation release factor 3);T10F20.8 protein (Translation elongation factor EF1A/initiation factor IF2gamma family protein)
XP_009117629.1	389	AT1G18040.1	AT1G18040.1	orthologue	GO:0005634;GO:0008353;GO:0004693;GO:0045944;GO:0051726;GO:0070985;GO:0004672;GO:0005515;GO:0005737;GO:0005524;GO:0051301;GO:0106310;GO:0005675;GO:0006468;GO:0004674	Cyclin-dependent kinase D-3 (CDKD;3) (EC 2.7.11.22) (EC 2.7.11.23) (CDK-activating kinase 2-At) (CAK2-At)
XP_009117631.2	378	AT1G17990.1, AT1G18020.1	AT1G18020.1	orthologue	GO:0010181;GO:0005634;GO:0016491;GO:0005737	FMN-linked oxidoreductases superfamily protein;Putative 12-oxophytodienoate reductase-like protein 2A (EC 1.3.1.-);Putative 12-oxophytodienoate reductase-like protein 2B (EC 1.3.1.-)
XP_009117633.2	361	AT3G13610.1, AT1G55290.1	AT3G13610.1	orthologue	GO:0003674;GO:0005737;GO:0010421;GO:0010447;GO:0010494;GO:1990641;GO:0009805;GO:0009699;GO:0051213;GO:0046872	Feruloyl CoA ortho-hydroxylase 1 (EC 1.14.11.61);Feruloyl CoA ortho-hydroxylase 2 (EC 1.14.11.61)
XP_009117634.1	710	AT1G17980.1	AT1G17980.1	orthologue	GO:0048366;GO:0045824;GO:0031123;GO:0005634;GO:0048451;GO:1990817;GO:0003723;GO:0009908;GO:0005515;GO:0008285;GO:0005524;GO:0006397;GO:0046872;GO:0016779;GO:0006378	Nuclear poly(A) polymerase 1 (PAP(I)) (Poly(A) polymerase I) (EC 2.7.7.19) (Polynucleotide adenylyltransferase 1)
XP_009117635.1	436	AT5G26830.1	AT5G26830.1	other	GO:0009507;GO:0006435;GO:0009505;GO:0005829;GO:0005739;GO:0004829;GO:0009536;GO:0005524;GO:0046872;GO:0000166;GO:0004812;GO:0006418;GO:0005737	Threonine--tRNA ligase, mitochondrial 1 (EC 6.1.1.3) (AtSYT1) (Threonyl-tRNA synthetase) (ThrRS)
XP_009117637.1	247	AT1G17950.1	AT1G17950.1	orthologue	GO:0000978;GO:1901347;GO:0005634;GO:0003700;GO:0009834;GO:0000976;GO:0009414;GO:0006355;GO:0000981;GO:0009737;GO:2000652;GO:1902074;GO:1901348;GO:0071555	Transcription factor MYB52 (Myb-related protein 52) (AtMYB52) (Protein ABA-HYPERSENSITIVE 1)
XP_009117639.1	164	AT1G17880.1	AT1G17880.1	orthologue	GO:0008150;GO:0005515;GO:0003729;GO:0005634;GO:0005829;GO:0005854	Basic transcription factor 3 (AtBTF3) (Nascent polypeptide-associated complex subunit beta)
XP_009117640.1	267	AT1G17810.1	AT1G17810.1	orthologue	GO:0015250;GO:0055085;GO:0005737;GO:0015267;GO:0006833;GO:0016020;GO:0005774	Probable aquaporin TIP3-2 (Beta-tonoplast intrinsic protein) (Beta-TIP) (Tonoplast intrinsic protein 3-2) (AtTIP3;2) [Cleaved into: Probable aquaporin TIP3-2, N-terminally processed]
XP_009117641.1	786	AT1G17820.1	AT1G17820.1	orthologue	GO:0005783;GO:0035091;GO:0008289;GO:0007165;GO:0005789;GO:0006869	At1g17820 (Testis-expressed sequence 2-like protein (DUF2404))
XP_009117643.1	496	AT1G17720.1	AT1G17720.1	orthologue	GO:0005515;GO:0005634;GO:0019888;GO:0000159;GO:0005829;GO:0005737;GO:0006470	Serine/threonine protein phosphatase 2A 55 kDa regulatory subunit B beta isoform (AtB beta) (PP2A, subunit B, beta isoform)
XP_009117645.1	586	AT3G13600.1	AT3G13600.1	orthologue	GO:0005634;GO:0003674;GO:0005737	IQ domain-containing protein IQM2 (IQ motif-containing protein 2)
XP_009117646.1	286	AT1G17710.1	AT1G17710.1	orthologue	GO:0052732;GO:0016311;GO:0005634;GO:0052731;GO:0004427;GO:0051262;GO:0016791;GO:0046872	Inorganic pyrophosphatase 2 (AtPPsPase2) (PPi phosphatase 2) (Pyrophosphate-specific phosphatase 2) (EC 3.6.1.1)
XP_009117647.1	181	AT1G17700.1	AT1G17700.1	orthologue	GO:0016192;GO:0005794;GO:0005783;GO:0005886;GO:0003674;GO:0010008	PRA1 family protein F1 (AtPRA1.F1)
XP_009117650.1	420	AT1G17610.1	AT1G17610.1	orthologue	GO:0005515;GO:0009507;GO:0043531;GO:0009409;GO:0061809;GO:0046713;GO:0007165;GO:0005634;GO:0005737;GO:0006952	Disease resistance protein CHS1 (EC 3.2.2.6) (Protein CHILLING SENSITIVE 1)
XP_009117651.1	341	AT1G17590.1	AT1G17590.1	orthologue	GO:0006355;GO:0006357;GO:0005515;GO:0005634;GO:0016602;GO:0000981;GO:0003700;GO:0003677	Nuclear transcription factor Y subunit A-8 (AtNF-YA-8)
XP_009117652.1	502				GO:0007165;GO:0043531;GO:0006952	
XP_009117653.2	1074	AT1G17600.1, AT1G72840.2, AT1G72860.2, AT4G09360.1, AT4G09430.1, AT5G40100.1, AT5G48770.1	AT5G48770.1	other	GO:0007165;GO:0005575;GO:0006952;GO:0043531;GO:0034052;GO:0005737;GO:0005634;GO:0009941;GO:0009507;GO:0016887;GO:0045088;GO:0005515;GO:0016020;GO:0016787;GO:0051707	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase (EC 3.2.2.6);Disease resistance protein (TIR-NBS-LRR class);Disease resistance protein (TIR-NBS-LRR class) family
XP_009117654.1	1513	AT1G17580.1	AT1G17580.1	orthologue	GO:0000146;GO:0048467;GO:0051646;GO:0051015;GO:0060151;GO:0010154;GO:0090436;GO:0007015;GO:0009826;GO:0051645;GO:0005515;GO:0042802;GO:0009791;GO:0016020;GO:0030048;GO:0003774;GO:0005737;GO:0010090;GO:0015629;GO:0051301;GO:0003779;GO:0005516;GO:0005524;GO:0016459	Myosin-5 (AtMYA1)
XP_009117655.1	490	AT1G11680.1	AT1G11680.1	other	GO:0016126;GO:0009793;GO:0005783;GO:0020037;GO:0005794;GO:0008398;GO:0005576;GO:0005506;GO:0016491;GO:0008168;GO:0016020;GO:0032259;GO:0004497;GO:0016705	Sterol 14-demethylase (EC 1.14.14.154) (Cytochrome P450 51A2) (Cytochrome P450 51G1) (AtCYP51) (Obtusifoliol 14-demethylase) (Protein EMBRYO DEFECTIVE 1738)
XP_009117657.1	301	AT1G17520.2	AT1G17520.2	orthologue	GO:0000976;GO:0005634;GO:0006334;GO:0003691;GO:0000786;GO:0003700;GO:0005730;GO:0003677	MYB transcription factor;Telomere repeat-binding factor 4 (MYB transcription factor)
XP_009117659.1	112				GO:0009649;GO:0042753	
XP_009117660.2	591				GO:0046982;GO:0005669;GO:0006352;GO:0000124;GO:0003677;GO:0017025;GO:0051123	
XP_009117661.1	919	AT1G17420.1	AT1G17420.1	orthologue	GO:0048653;GO:0009555;GO:0080086;GO:0009620;GO:0009695;GO:0009753;GO:0016165;GO:0034440;GO:0031408;GO:0016702;GO:0009611;GO:0009644;GO:0009901;GO:0006952;GO:0009507;GO:0006633;GO:0046872;GO:0005515;GO:0016491	Lipoxygenase 3, chloroplastic (AtLOX3) (EC 1.13.11.12)
XP_009117662.2	342	AT1G17380.1	AT1G17380.1	orthologue	GO:0031347;GO:0005634;GO:2000022;GO:0005515;GO:0009611;GO:0009753;GO:0009507;GO:0006952	Protein TIFY (Jasmonate ZIM domain-containing protein);Protein TIFY 11A (Jasmonate ZIM domain-containing protein 5)
XP_009117664.1	778	AT1G17340.1	AT1G17340.1	orthologue	GO:0046856;GO:0005739;GO:0043813;GO:0043231;GO:0005774;GO:0016791	Phosphoinositide phosphatase SAC5 (AtSAC5) (EC 3.1.3.-) (Phosphatidylinositol 3,5-bisphosphate 5-phosphatase SAC5) (Protein SUPPRESSOR OF ACTIN 5) (SAC domain protein 5)
XP_009117665.1	418	AT1G17370.1	AT1G17370.1	orthologue	GO:0003729;GO:0005515;GO:0005634;GO:0006397;GO:0003723;GO:0003676	Oligouridylate binding protein 1B;Oligouridylate-binding protein 1B (AtUBP1b) (Polyuridylate-binding protein UBP1B) (Poly(U)-binding protein UBP1B)
XP_009117666.1	371	AT3G01200.1	AT3G01200.1	orthologue	GO:0004672;GO:0005524;GO:0016776;GO:0005829;GO:0009507;GO:0004674;GO:0016772	Pyruvate, phosphate dikinase regulatory protein 2 (EC 2.7.11.32) (EC 2.7.4.27) (Pyruvate, Pi dikinase regulatory protein 2) (AtRP2) (PPDK RP2) (PPDK regulatory protein 2)
XP_009117671.1	413	AT4G34000.1	AT4G34000.1	orthologue	GO:0009737;GO:0003677;GO:0009738;GO:0005515;GO:0045893;GO:0000976;GO:0006355;GO:0009651;GO:0003700;GO:0009414;GO:0005634;GO:0043565	ABSCISIC ACID-INSENSITIVE 5-like protein 6 (Abscisic acid responsive elements-binding factor 3) (ABRE-binding factor 3) (Dc3 promoter-binding factor 5) (AtDPBF5) (bZIP transcription factor 37) (AtbZIP37)
XP_009117672.2	352	AT2G44630.1, AT2G44700.1, AT4G02310.1	AT2G44700.1	other	GO:0005634;GO:0003674;GO:0008150;GO:0005575;;GO:0005515	F-box/kelch-repeat protein At2g44630;F-box/kelch-repeat protein At2g44700;Putative F-box/kelch-repeat protein At4g02310
XP_009117678.2	441	AT2G21610.2	AT2G21610.2	orthologue	GO:0045490;GO:0042545;GO:0005739;GO:0030599;GO:0016020;GO:0052689	Putative pectinesterase 11 (PE 11) (EC 3.1.1.11) (Pectin methylesterase 11) (AtPME11);pectinesterase (EC 3.1.1.11)
XP_009117679.2	319	AT3G01190.1	AT3G01190.1	orthologue	GO:0140825;GO:0005576;GO:0006950;GO:0009505;GO:0006979;GO:0020037;GO:0004601;GO:0042744;GO:0046872	Peroxidase 27 (Atperox P27) (EC 1.11.1.7) (ATP12a) (PRXR7)
XP_009117680.2	358	AT2G21430.1	AT2G21430.1	other	GO:0005615;GO:0000323;GO:0051603;GO:0005576;GO:0004197;GO:0005764;GO:0006508;GO:0008234	Probable cysteine protease RD19B (EC 3.4.22.-) (RD19-like protein 1) (Thiol protease A1494)
XP_009117682.2	748	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT1G10000.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
XP_009117683.1	237					
XP_009117684.2	192				GO:0008270	
XP_009117693.2	210	AT5G17167.1, AT3G30430.1, AT2G35280.1, AT1G36030.1	AT2G35280.1	orthologue	GO:0003674;GO:0005575;GO:0008150;GO:0005739	At3g30430 (F-box family protein);F-box family protein;F-box protein At2g35280;Nucleic acid-binding, OB-fold-like protein
XP_009117696.1	153	AT5G41220.1	AT5G41220.1	other	GO:0009407;GO:0005737;GO:0009536;GO:0004364;GO:0005634	Glutathione S-transferase T3 (AtGSTT3) (EC 2.5.1.18) (GST class-theta member 3) (Glutathione S-transferase 10C);glutathione transferase (EC 2.5.1.18)
XP_009117697.2	583	AT3G01175.1	AT3G01175.1	orthologue	GO:0005739;GO:0003674;GO:0016020	Transmembrane protein
XP_009117699.2	371				GO:0003676;GO:0004523	
XP_009117701.1	180	AT5G40090.1, AT1G17610.1	AT1G17610.1	other	GO:0005515;GO:0009507;GO:0043531;GO:0009409;GO:0061809;GO:0046713;GO:0007165;GO:0016887;GO:0006952;GO:0005634;GO:0005737	Disease resistance protein CHL1 (EC 3.2.2.6) (Protein CHILLING SENSITIVE 1-LIKE 1) (CHS1-LIKE 1);Disease resistance protein CHS1 (EC 3.2.2.6) (Protein CHILLING SENSITIVE 1)
XP_009117702.1	381	AT1G10000.1, AT2G06845.1, AT3G26855.1, AT3G27495.1, AT3G29791.1, AT4G09490.1, ATMG01250.1	AT1G10000.1	other	GO:0003674;GO:0005575;GO:0008150;GO:0004523;GO:0003676;GO:0005739;GO:0009507;GO:0016740;GO:0003964	Beta-galactosidase related protein;Polynucleotidyl transferase, ribonuclease H-like superfamily protein;RNA-directed DNA polymerase (Reverse transcriptase)-related family protein;RNase H type-1 domain-containing protein;Ribonuclease H-like superfamily protein;Uncharacterized mitochondrial protein AtMg01250 (ORF102);Uncharacterized protein
XP_009117703.1	175					
XP_009117709.1	97	AT1G17285.2	AT1G17285.2	other	GO:0005739;GO:0003674;GO:0016020	At1g17285 (Transmembrane protein);Transmembrane protein
XP_009117710.2	548	AT1G17290.1	AT1G17290.1	orthologue	GO:0009058;GO:0030170;GO:0071456;GO:0005634;GO:0001666;GO:0005524;GO:0004021;GO:0005739;GO:0046686;GO:0019481;GO:0008483	Alanine aminotransferase 1, mitochondrial (AtAlaAT1) (AtAlaATc) (EC 2.6.1.2) (Alanine-2-oxoglutarate aminotransferase 4) (EC 2.6.1.-)
