Brassica_oleracea	prot_length	Arabidopsis_thaliana	single_Arabidopsis_thaliana	homologue_type	GO_term_IDs	UniProt_Protein.names
XP_013593648.1	554	AT4G26870.1, AT4G31180.1	AT4G31180.1	other	GO:0004815;GO:0005829;GO:0003723;GO:0006422;GO:0017101;GO:0005737;GO:0009506;GO:0050832;GO:0005886;GO:0005783;GO:0003677;GO:0005524;GO:0046872;GO:0000166;GO:0004812;GO:0006418;GO:0003676	Aspartate--tRNA ligase 1, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS);Aspartate--tRNA ligase 2, cytoplasmic (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS) (Protein IMPAIRED IN BABA-INDUCED DISEASE IMMUNITY 1)
XP_013593649.1	477	AT3G28580.1	AT3G28580.1	orthologue	GO:0000304;GO:0016887;GO:0005783;GO:0009737;GO:0005524;GO:0016020;GO:0006950	AAA-ATPase At3g28580 (EC 3.6.1.-);P-loop containing nucleoside triphosphate hydrolases superfamily protein
XP_013593650.1	509	AT3G28660.1, AT3G28640.1	AT3G28640.1	orthologue	GO:0003723;GO:0009507;GO:0043231;GO:0009451;GO:0005515	Pentatricopeptide repeat-containing protein At3g28660;Putative pentatricopeptide repeat-containing protein At3g28640
XP_013593652.1	153	AT4G34590.1	AT4G34590.1	orthologue	GO:0045893;GO:0017148;GO:0080149;GO:0046982;GO:0005515;GO:0003700;GO:0000976;GO:0009744;GO:0043565;GO:0005634;GO:0006355	bZIP transcription factor 11 (AtbZIP11) (G-box-binding factor 6) (bZIP transcription factor ATB2)
XP_013593653.1	42					
XP_013593654.1	167	AT3G29797.1, AT3G30247.1, AT2G21655.1, AT2G21727.1, AT2G25482.1	AT2G21655.1	orthologue	GO:0003674;GO:0005576;GO:0008150;GO:0009507	At2g21655 (ECA1 gametogenesis family protein (DUF784)) (Expressed protein);ECA1 gametogenesis family protein (DUF784);Prolamin-like protein (DUF784)
XP_013593655.1	326	AT1G24360.1	AT1G24360.1	orthologue	GO:0009507;GO:0006633;GO:0009570;GO:0009941;GO:0009536;GO:0005507;GO:0030497;GO:0005739;GO:0004316;GO:0016616;GO:0005634;GO:0051287	3-oxoacyl-[acyl-carrier-protein] reductase, chloroplastic (EC 1.1.1.100) (3-ketoacyl-acyl carrier protein reductase)
XP_013593656.1	226	AT3G24570.1	AT3G24570.1	orthologue	GO:0005739;GO:0005737;GO:0003674;GO:0008150;GO:0016020	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
XP_013593657.1	243	AT5G47310.1	AT5G47310.1	orthologue	GO:0008233;GO:0101005;GO:0005737;GO:0006508;GO:0016579;GO:0070646	At5g47310 (PPPDE putative thiol peptidase family protein) (Similarity to EREBP-4)
XP_013593659.1	553	AT4G16590.1	AT4G16590.1	orthologue	GO:0005794;GO:0016757;GO:0016759;GO:0051753;GO:0000139;GO:0047259;GO:0071555	Probable glucomannan 4-beta-mannosyltransferase 1 (EC 2.4.1.32) (Cellulose synthase-like protein A1) (AtCslA1) (Glucomannan synthase) (Mannan synthase 1)
XP_013593660.1	331	AT3G23690.1	AT3G23690.1	orthologue	GO:0000976;GO:0006355;GO:0003700;GO:0005634;GO:0046983;GO:0005515	Transcription factor bHLH77 (Basic helix-loop-helix protein 77) (AtbHLH77) (bHLH 77) (Protein ACTIVATOR FOR CELL ELONGATION 3) (Transcription factor EN 87) (bHLH transcription factor bHLH077)
XP_013593661.1	206	AT1G14900.1	AT1G14900.1	other	GO:0045910;GO:0005634;GO:0005730;GO:0005829;GO:0006334;GO:0003677;GO:0030261;GO:0003690;GO:0006355;GO:0031492;GO:0009507;GO:0000786;GO:0000785	HMG-Y-related protein A (AtHMGA) (High mobility group A protein)
XP_013593662.1	616	AT3G25430.1	AT3G25430.1	orthologue	GO:0008150;GO:0009507;GO:0000175;GO:1905392;GO:0043169;GO:0004535;GO:0003723;GO:0003676;GO:0016740;GO:0016787;GO:0005634;GO:0005737;GO:0006397;GO:0046872	Poly(A)-specific ribonuclease PARN-like (EC 3.1.13.4) (Polyadenylate-specific ribonuclease-like protein);Polynucleotidyl transferase, ribonuclease H-like superfamily protein
XP_013593663.1	722	AT4G23050.2	AT4G23050.2	orthologue	GO:0010162;GO:0004672;GO:0005515;GO:0006355;GO:0005634;GO:0004712;GO:0005737;GO:0007165;GO:0004674;GO:0005524;GO:0009881;GO:0016020;GO:0006468	non-specific serine/threonine protein kinase (EC 2.7.11.1)
XP_013593665.1	408	AT1G25440.1	AT1G25440.1	orthologue	GO:0006355;GO:0005634;GO:0005515;GO:0008270;GO:0003700	Zinc finger protein CONSTANS-LIKE 16
XP_013593667.1	327	AT5G66160.1	AT5G66160.1	orthologue	GO:0006511;GO:0000976;GO:0005802;GO:0005783;GO:0006886;GO:0005576;GO:0005515;GO:0061630;GO:0005770;GO:0005737;GO:0000139;GO:0008270;GO:0032586;GO:0012505;GO:0015031	Receptor homology region transmembrane domain ring H2 motif protein 1;Receptor homology region, transmembrane domain- and RING domain-containing protein 1 (AtRMR1) (ReMembR-H2 protein JR700)
XP_013593669.1	520	AT5G24290.1	AT5G24290.1	orthologue	GO:0005576;GO:0010168;GO:0006880;GO:0005384;GO:0005381;GO:0016020;GO:0005515;GO:0030026;GO:0005789	Membrane protein of ER body 2
XP_013593671.1	306	AT4G17720.1	AT4G17720.1	other	GO:0050832;GO:0006364;GO:0005515;GO:0071226;GO:0005886;GO:0005634;GO:0005829;GO:0034051;GO:0003723;GO:0003676	Putative RRM-containing protein (Putative splicing regulatory protein) (RNA-binding (RRM/RBD/RNP motifs) family protein)
XP_013593672.1	291	AT2G15290.1	AT2G15290.1	orthologue	GO:0005375;GO:0009941;GO:0031897;GO:0045037;GO:0030003;GO:0009706;GO:0005381;GO:0005739;GO:0042803;GO:0009507	Protein TIC 21, chloroplastic (Protein CHLOROPLAST IMPORT APPARATUS 5) (AtCIA5) (Protein PERMEASE IN CHLOROPLASTS 1) (AtPIC1) (Translocon at the inner envelope membrane of chloroplasts 21) (AtTIC21)
XP_013593673.1	384	AT4G38630.1	AT4G38630.1	orthologue	GO:0008540;GO:0043248;GO:0051788;GO:0009408;GO:0005886;GO:0006511;GO:0010029;GO:0043161;GO:0009737;GO:0006974;GO:0048767;GO:0048455;GO:0030163;GO:0031593;GO:0001653;GO:0009733;GO:0005515;GO:0048528;GO:0009735;GO:0000502;GO:0005634;GO:0010150;GO:0048366;GO:0005829;GO:0005737;GO:0009744;GO:0009651;GO:0009555	26S proteasome non-ATPase regulatory subunit 4 homolog (26S proteasome regulatory subunit RPN10) (AtRPN10) (26S proteasome regulatory subunit S5A homolog) (Multiubiquitin chain-binding protein 1) (AtMCB1)
XP_013593674.1	747	AT2G01210.1	AT2G01210.1	orthologue	GO:0005524;GO:0005515;GO:0016301;GO:0046777;GO:0004674;GO:0009507;GO:0005576;GO:0009570;GO:0005886;GO:0010069;GO:0090406;GO:0009505;GO:0099503;GO:0010070;GO:0106310;GO:0004672;GO:0006468	Receptor protein kinase-like protein ZAR1 (EC 2.7.11.1) (Protein ZYGOTIC ARREST 1)
XP_013593675.1	190	AT2G01200.1	AT2G01200.1	orthologue	GO:0005515;GO:0003700;GO:0006355;GO:0009733;GO:0009793;GO:0005634;GO:0009555;GO:0009734	Auxin-responsive protein IAA32 (Indoleacetic acid-induced protein 32)
XP_013593676.1	213	AT1G24625.1	AT1G24625.1	orthologue	GO:0000976;GO:0019760;GO:0006355;GO:0009788;GO:0003700;GO:0005634;GO:0005515;GO:0046982;GO:0008270;GO:0009738	Zinc finger protein 7
XP_013593679.1	261	AT5G48540.1	AT5G48540.1	orthologue	GO:0003674;GO:0005576;GO:0099503	Cysteine-rich repeat secretory protein 55
XP_013593680.1	419	AT1G21920.1	AT1G21920.1	orthologue	GO:0048578;GO:0003674;GO:0009507;GO:0008168;GO:0016020;GO:0016301;GO:0032259	Histone H3 K4-specific methyltransferase SET7/9 family protein;Histone H3 K4-specific methyltransferase SET7/9 family protein (Putative phosphatidylinositol-4-phosphate 5-kinase) (T26F17.15)
XP_013593681.1	1241	AT4G25960.1	AT4G25960.1	orthologue	GO:0042626;GO:0055085;GO:0140359;GO:0016020;GO:0005829;GO:0016887;GO:0009507;GO:0005524;GO:0005886	ABC transporter B family member 2 (ABC transporter ABCB.2) (AtABCB2) (Multidrug resistance protein 2) (P-glycoprotein 2)
XP_013593682.1	401	AT4G25990.2	AT4G25990.2	orthologue	GO:0005634;GO:0006355;GO:0003674;GO:0005515	At4g25990 (CCT motif family protein) (CIL);CCT motif family protein
XP_013593683.1	114	AT4G18372.1	AT4G18372.1	orthologue	GO:0005634;GO:0008150;GO:0031417;GO:0003674;GO:1990904	Small nuclear ribonucleoprotein family protein
XP_013593684.1	293	AT2G17720.1	AT2G17720.1	orthologue	GO:0005783;GO:0000137;GO:0080147;GO:0004656;GO:0005506;GO:0005739;GO:0031418;GO:0000139;GO:0005789;GO:0018401;GO:0016705	Prolyl 4-hydroxylase 5 (AtP4H5) (EC 1.14.11.2)
XP_013593685.1	540	AT5G23010.2	AT5G23010.2	orthologue	GO:0019761;GO:0009625;GO:0009414;GO:0010177;GO:0009507;GO:0009098;GO:0019752;GO:0003824;GO:0046912;GO:0003852	Methylthioalkylmalate synthase 1, chloroplastic (EC 2.3.3.17) (2-isopropylmalate synthase 3);methylthioalkylmalate synthase (EC 2.3.3.17)
XP_013593686.1	580	AT1G22550.1	AT1G22550.1	orthologue	GO:0015706;GO:0022857;GO:0016020;GO:0009705;GO:0071916;GO:0055085;GO:0042937;GO:0080054;GO:0042938;GO:0006857	Protein NRT1/ PTR FAMILY 5.16 (AtNPF5.16)
XP_013593687.1	274	AT4G22600.1	AT4G22600.1	orthologue	GO:0010584;GO:0006351;GO:0005634;GO:0043565;GO:0005737	Protein INAPERTURATE POLLEN1
XP_013593688.1	291	AT3G23730.1	AT3G23730.1	orthologue	GO:0030247;GO:0010411;GO:0042546;GO:0016762;GO:0005576;GO:0004553;GO:0048046;GO:0071555;GO:0005975;GO:0005618;GO:0044042	Probable xyloglucan endotransglucosylase/hydrolase protein 16 (At-XTH16) (XTH-16) (EC 2.4.1.207)
XP_013593689.1	433	AT5G44370.1	AT5G44370.1	orthologue	GO:0055085;GO:0005794;GO:0009624;GO:0008514;GO:0005315;GO:0000139;GO:0022857	Probable anion transporter 5 (Phosphate transporter PHT4;6)
XP_013593690.1	417					
XP_013593692.1	493	AT4G18270.1	AT4G18270.1	orthologue	GO:0071555;GO:0009507;GO:0006486;GO:0044038;GO:0008963;GO:0005886;GO:0016020;GO:0016780;GO:0015450	Phospho-N-acetylmuramoyl-pentapeptide-transferase homolog (Translocase I)
XP_013593693.1	319	AT2G03550.1	AT2G03550.1	orthologue	GO:0106435;GO:0016787;GO:0005575	Probable carboxylesterase 7 (AtCXE7) (EC 3.1.1.1)
XP_013593694.1	977	AT4G30190.2	AT4G30190.2	other	GO:0005886;GO:0120029;GO:1902600;GO:0008553;GO:0016020;GO:0000325;GO:0051453;GO:0005515;GO:0016887;GO:0000287;GO:0009506;GO:0005794;GO:0005524;GO:0046872;GO:0000166;GO:0005215	ATPase 2, plasma membrane-type (PM H(+)-ATPase 2) (Plasma membrane-type ATPase 2) (EC 7.1.2.1) (Proton pump 2);Plasma membrane ATPase (EC 7.1.2.1)
XP_013593696.1	204	AT4G16720.1	AT4G16720.1	orthologue	GO:0003735;GO:0006412;GO:0022626;GO:0022625;GO:0000325;GO:0005829;GO:0002181;GO:0003723;GO:0005737;GO:0003729;GO:0005840	Large ribosomal subunit protein eL15z (60S ribosomal protein L15-1)
XP_013593697.1	548	AT4G36940.1	AT4G36940.1	orthologue	GO:0004516;GO:0034355;GO:0009435;GO:0005737;GO:0005829;GO:0016757;GO:0046872	Nicotinate phosphoribosyltransferase 1 (NAPRTase) (EC 6.3.4.21)
XP_013593698.1	77	AT3G59930.1, AT5G33355.1	AT3G59930.1	orthologue	GO:0005576;GO:0002215;GO:0097501;GO:0120127;GO:0003674;GO:0031640;GO:0050832	Defensin-like protein 206;Defensin-like protein 207
XP_013593699.1	161	AT4G36040.1	AT4G36040.1	orthologue	GO:0009507;GO:0003674;GO:0005634;GO:0009536;GO:0009570	Chaperone protein dnaJ 11, chloroplastic (AtDjC11) (AtJ11)
XP_013593700.1	192	AT3G27830.1, AT3G27840.1, AT3G27850.1	AT3G27830.1	other	GO:0009507;GO:0006412;GO:0003735;GO:0000311;GO:0003729;GO:0009535;GO:0009579;GO:0009570;GO:0005829;GO:0009941;GO:0042644;GO:0009506;GO:0005840	Large ribosomal subunit protein bL12cx (50S ribosomal protein L12-3, chloroplastic) (CL12-C);Large ribosomal subunit protein bL12cy (50S ribosomal protein L12-2, chloroplastic) (CL12-B);Large ribosomal subunit protein bL12cz (50S ribosomal protein L12-1, chloroplastic) (CL12-A)
XP_013593701.1	294	AT4G31020.1	AT4G31020.1	orthologue	GO:0008474;GO:0005576;GO:0008150	Alpha/beta-Hydrolases superfamily protein
XP_013593702.1	173	AT2G24290.1, AT4G30996.1	AT2G24290.1	other	GO:0003674;GO:0005575;GO:0005794;GO:0005802;GO:0042538;GO:0000138;GO:0005768;GO:0043182;GO:0005783;GO:0016020	Expressed protein (Ubiquitin-associated protein (DUF1068));Ubiquitin-associated protein (DUF1068)
XP_013593704.1	203	AT4G37450.2	AT4G37450.2	orthologue	GO:0009554;GO:0016020;GO:0010306;GO:0005886;GO:0003674;GO:0098552	Arabinogalactan protein 18;Lysine-rich arabinogalactan protein 18 (Lys-rich AGP 18)
XP_013593705.1	193					
XP_013593707.1	171	AT4G36420.1	AT4G36420.1	orthologue	GO:0003735;GO:0003729;GO:0005739;GO:0006412;GO:0005737;GO:0005840;GO:1990904	At4g36420/C7A10_940 (Ribosomal protein) (Ribosomal protein L12 family protein)
XP_013593709.1	368	AT2G20280.1	AT2G20280.1	orthologue	GO:0003674;GO:0005829;GO:0002181;GO:0005737;GO:0005739;GO:0003677;GO:0008270;GO:0046872;GO:0003729	Zinc finger CCCH domain-containing protein 21 (AtC3H21)
XP_013593710.1	343	AT4G39470.1	AT4G39470.1	orthologue	GO:0003674;GO:0005634;;GO:0005515	AT4g39470/F23K16_100 (Tetratricopeptide repeat (TPR)-like superfamily protein)
XP_013593712.1	417	AT1G25211.1, AT1G24881.1, AT1G25055.1, AT1G25150.1, AT1G24800.1	AT1G25211.1	other	GO:0003674;GO:0005739;GO:0008150	F-box/kelch-repeat protein At1g24800;F-box/kelch-repeat protein At1g24881;F-box/kelch-repeat protein At1g25055;F-box/kelch-repeat protein At1g25150;F-box/kelch-repeat protein At1g25211
XP_013593713.1	215	AT5G46790.1	AT5G46790.1	orthologue	GO:0005634;GO:0010427;GO:0005737;GO:0009738;GO:0005515;GO:0019888;GO:0009536;GO:0042803;GO:0006952;GO:0038023;GO:0004864;GO:0042802;GO:0005886;GO:0062049	Abscisic acid receptor PYL1 (ABI1-binding protein 6) (PYR1-like protein 1) (Regulatory components of ABA receptor 9)
XP_013593714.1	152	AT5G27670.1	AT5G27670.1	orthologue	GO:0031507;GO:0030527;GO:0070828;GO:0009536;GO:0000786;GO:0003682;GO:0005634;GO:0046982;GO:0000792;GO:0005730;GO:0003677	Probable histone H2A.5 (HTA7)
XP_013593715.1	277	AT4G39040.1	AT4G39040.1	orthologue	GO:0009507;GO:0003729;GO:0005886;GO:0003723	At4g39040 (RNA-binding CRS1 / YhbY (CRM) domain protein);RNA-binding CRS1 / YhbY (CRM) domain protein
XP_013593716.1	156	AT1G31340.1	AT1G31340.1	orthologue	GO:0005634;GO:0009693;GO:0005886;GO:0005515;GO:0005737;GO:0003729;GO:0005829;GO:0009793;GO:0045116;GO:0016567;GO:0031625;GO:0009733;GO:0019941;GO:0031386	Ubiquitin-NEDD8-like protein RUB1 [Cleaved into: Ubiquitin; NEDD8-like protein RUB1 (Ubiquitin-related protein 1) (AtRUB1)]
XP_013593717.1	353				GO:0005515	
XP_013593718.1	71	AT1G31335.1	AT1G31335.1	orthologue	GO:0008150;GO:0003674;GO:0005576;GO:0016020	At1g31335 (Transmembrane protein)
XP_013593719.1	488	AT4G21705.1	AT4G21705.1	orthologue	GO:0005739;GO:0003674;GO:0003729;GO:0005515	Pentatricopeptide repeat-containing protein At4g21705, mitochondrial
XP_013593720.1	300	AT5G23590.1	AT5G23590.1	orthologue	GO:0003723;GO:0008150;GO:0005737;GO:0003676	At5g23590 (DNAJ heat shock N-terminal domain-containing protein)
XP_013593722.1	246	AT3G51090.1	AT3G51090.1	orthologue	GO:0005739;GO:0003674;GO:0016020	Coiled-coil 90B-like protein (DUF1640)
XP_013593723.1	525	AT1G27150.1	AT1G27150.1	orthologue	GO:0003674;GO:0005634;;GO:0005515	T7N9.21 (Tetratricopeptide repeat (TPR)-like superfamily protein)
XP_013593725.1	263	AT2G20120.1	AT2G20120.1	other	GO:0010222;GO:0005634;GO:0005794;GO:0003674;GO:0016020	Protein CONTINUOUS VASCULAR RING 1
XP_013593728.1	418	AT5G45790.2	AT5G45790.2	orthologue	GO:0003723;GO:0009507;GO:0016787	Ubiquitin carboxyl-terminal hydrolase family protein
XP_013593729.1	385	AT3G19470.1, AT3G22770.1	AT3G19470.1	orthologue	GO:0003674;GO:0008150;GO:0005634;GO:0005575;;GO:0005515	F-box associated ubiquitination effector family protein;F-box protein At3g19470
XP_013593730.1	361	AT4G30850.1	AT4G30850.1	orthologue	GO:0038023;GO:0009725;GO:0005739;GO:0009744;GO:0016020	Heptahelical transmembrane protein 2 (PAQR family protein HHP2)
XP_013593731.1	121	AT4G30845.1	AT4G30845.1	orthologue	GO:0003674;GO:0005575;GO:0000428	DNA-directed RNA polymerase subunit beta
XP_013593732.1	203	AT5G47030.1	AT5G47030.1	orthologue	GO:0008270;GO:0046933;GO:0005739;GO:0015986;GO:0045259;GO:0009536;GO:0045261;GO:0005743;GO:0000275	ATP synthase subunit delta', mitochondrial (F-ATPase delta' subunit)
XP_013593733.1	463	AT5G46680.1	AT5G46680.1	other	GO:0003729;GO:0005739;;GO:0005515	Pentatricopeptide repeat-containing protein At5g46680
XP_013593734.1	266	AT5G32450.1	AT5G32450.1	orthologue	GO:0005515;GO:0050832;GO:0005634;GO:0003723;GO:0003676	Putative RRM-containing protein (RNA binding (RRM/RBD/RNP motifs) family protein)
XP_013593736.1	636	AT2G16750.1	AT2G16750.1	orthologue	GO:0004672;GO:0003674;GO:0005634;GO:0051781;GO:0005737;GO:0010476;GO:0006468;GO:0005886;GO:0009739;GO:0004674;GO:0005524;GO:0009740;GO:0016787	Protein kinase STUNTED (EC 2.7.11.-)
XP_013593738.1	141					
XP_013593741.1	357	AT5G43720.1, AT1G04230.1	AT5G43720.1	orthologue	GO:0000462;GO:0005634;GO:0006364;GO:0005730;GO:0003674;GO:0030688	rRNA-processing protein EFG1 (rRNA-processing protein efg1)
XP_013593742.1	271	AT4G37470.1	AT4G37470.1	orthologue	GO:0005515;GO:0005737;GO:0009704;GO:0009640;GO:0080167;GO:0031386;GO:0005829;GO:0005634;GO:0016787	Probable esterase KAI2 (Protein DWARF-14-like) (Protein D14-like) (Protein HYPOSENSITIVE TO LIGHT) (Protein KARRIKIN INSENSITIVE 2)
XP_013593743.1	232	AT4G25370.1	AT4G25370.1	orthologue	GO:0009570;GO:0009941;GO:0005829;GO:0009507;GO:0009532;GO:0009579;GO:0005515;GO:0008150	ATP-dependent Clp protease ATP-binding subunit CLPT1, chloroplastic (nClpC-like protein)
XP_013593744.1	444	AT5G60870.2	AT5G60870.2	orthologue	GO:0005739;GO:0008380;GO:0072702;GO:0009788;GO:0006974;GO:0010228;GO:0009507;GO:0032981;GO:0005794;GO:0005737;GO:0005515;GO:0006397;GO:0009738	RCC1 domain-containing protein RUG3, mitochondrial (RCC1/UVR8/GEF-like protein 3, mitochondrial);Regulator of chromosome condensation (RCC1) family protein
XP_013593745.1	240	AT5G60860.1	AT5G60860.1	other	GO:0005768;GO:0003924;GO:0016192;GO:0005525;GO:0005886;GO:0015031	Ras-related protein RABA1f (AtRABA1f)
XP_013593746.1	688	AT4G20320.1	AT4G20320.1	orthologue	GO:0005829;GO:0044210;GO:0097268;GO:0003883;GO:0006241;GO:0042802;GO:0019856;GO:0005634;GO:0005524;GO:0006221	CTP synthase (EC 6.3.4.2) (UTP--ammonia ligase)
XP_013593750.1	323	AT3G29200.1	AT3G29200.1	orthologue	GO:1901747;GO:0004106;GO:0009073;GO:0098869;GO:0009507;GO:0009536;GO:0005829;GO:0042803;GO:0016688;GO:0005737;GO:0046417;GO:0008652	Chorismate mutase 1, chloroplastic (AtCM1) (EC 5.4.99.5) (CM-1)
XP_013593751.1	894	AT1G61300.1, AT1G61190.1, AT1G61180.2, AT1G61310.1	AT1G61190.1	other	GO:0003674;GO:0005575;GO:0098542;GO:0043531;GO:0005739;GO:0005886;GO:0005524;GO:0006952;GO:0016020	Disease resistance protein UNI (Protein UNI);LRR and NB-ARC domains-containing disease resistance protein;Probable disease resistance protein At1g61190;Probable disease resistance protein At1g61300;Probable disease resistance protein At1g61310
XP_013593753.1	275	AT2G18860.1	AT2G18860.1	orthologue	GO:0005634;GO:0048193;GO:0003674;GO:0005739;GO:0005794;GO:0015031;GO:0016020;GO:0012505;GO:0016192	At2g18860 (Syntaxin/t-SNARE family protein);Syntaxin/t-SNARE family protein
XP_013593754.1	265	AT3G29575.1	AT3G29575.1	orthologue	GO:0045892;GO:0005515;GO:0007165;GO:0005634;GO:0009737	Ninja-family protein AFP3 (ABI five-binding protein 3) (ABI5-binding protein 3)
XP_013593755.1	635	AT4G37380.1	AT4G37380.1	orthologue	GO:0009507;GO:0008270;GO:1900865;GO:0005739;GO:0003723;GO:0006397;GO:0005515;GO:0009451	Pentatricopeptide repeat-containing protein ELI1, chloroplastic (Protein EDITING LACKING INSERTIONAL MUTANT 1)
XP_013593756.1	463	AT5G47140.1	AT5G47140.1	orthologue	GO:0006355;GO:0005634;GO:0008270;GO:0043565;GO:0003700	GATA transcription factor 27
XP_013593758.1	363	AT5G40210.1	AT5G40210.1	other	GO:0022857;GO:0005886;GO:0016020	WAT1-related protein At5g40210
XP_013593759.1	188	AT1G29960.1, AT1G23465.1	AT1G23465.1	orthologue	GO:0004252;GO:0006627;GO:0005886;GO:0006465;GO:0042720;GO:0005739;GO:0005743;GO:0006508;GO:0008236;GO:0016020	Mitochondrial ATP-independent inner membrane protease subunit 1b (AtIMP1b) (EC 3.4.21.-);Peptidase S24/S26A/S26B/S26C family protein
XP_013593761.1	348	AT4G23920.1	AT4G23920.1	orthologue	GO:1901149;GO:0003978;GO:0005996;GO:0046983;GO:0042546;GO:0005829;GO:0006012;GO:0071555	UDP-glucose 4-epimerase 2 (AtUGE2) (EC 5.1.3.2) (UDP-galactose 4-epimerase 2)
XP_013593763.1	296	AT2G04930.1, AT3G19595.1	AT3G19595.1	orthologue	GO:0008150;GO:0003674;GO:0005634;GO:0008420;GO:0017018;GO:0070940;GO:0004721	RNA polymerase II C-terminal domain phosphatase-like (EC 3.1.3.16)
XP_013593765.1	197	AT4G23930.1	AT4G23930.1	orthologue	GO:0005576;GO:0003674;GO:0008150;GO:0016020	Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family
XP_013593766.1	460	AT1G25580.1	AT1G25580.1	orthologue	GO:0010332;GO:0006355;GO:0000077;GO:0000976;GO:0005634;GO:0003700;GO:0003677;GO:0040020	SUPPRESSOR OF GAMMA RESPONSE 1 (NAC domain-containing protein 8) (ANAC008) (Protein SOG1) (SUPPRESSOR OF GAMMA RADIATION 1)
XP_013593767.1	519	AT5G48340.1	AT5G48340.1	orthologue	GO:0005634;GO:0003674;GO:0005739	Uncharacterized protein;Uncharacterized protein At5g48340
XP_013593768.1	411	AT3G24460.1	AT3G24460.1	orthologue	GO:0016020;GO:0008150;GO:0003674	AT3g24470/MXP5_4 (Serinc-domain containing serine and sphingolipid biosynthesis protein)
XP_013593769.1	285	AT3G50750.1	AT3G50750.1	orthologue	GO:0006351;GO:0005634;GO:0006355;GO:0009742;GO:0005515;GO:0003700;GO:0000325;GO:0003677	BES1/BZR1 homolog protein 1
XP_013593770.1	202	AT5G47200.1	AT5G47200.1	orthologue	GO:0005794;GO:0005886;GO:0009860;GO:0005525;GO:0016192;GO:0003924;GO:0005515;GO:0009536;GO:0000139;GO:0015031	Ras-related protein RABD2b (AtRABD2b) (Ras-related protein Rab1A) (AtRab1A)
XP_013593771.1	180	AT2G01540.1	AT2G01540.1	orthologue	GO:0005634;GO:0009789;GO:0005096;GO:0000325;GO:0005543;GO:0005886;GO:0005515;GO:0043547;GO:0009738;GO:0046872	Protein C2-DOMAIN ABA-RELATED 10
XP_013593772.1	151	AT4G14060.1	AT4G14060.1	orthologue	GO:0005829;GO:0005634;GO:0003674;GO:0006952;GO:0010494	AT4g14060/dl3070w (Major latex protein like) (Polyketide cyclase/dehydrase and lipid transport superfamily protein)
XP_013593773.1	254	AT3G12820.1	AT3G12820.1	orthologue	GO:0009723;GO:1990641;GO:1990532;GO:0009646;GO:0010468;GO:0005634;GO:0010043;GO:0003700;GO:0003677	Myb domain protein 10;Transcription factor MYB10 (Myb-related protein 10) (AtMYB10)
XP_013593774.1	227	AT1G69920.1, AT1G27140.1, AT1G27130.1	AT1G27130.1	other	GO:0005634;GO:0009407;GO:0004364;GO:0005737;GO:0006749;GO:0042344;GO:0052542;GO:0050832;GO:0045087;GO:0005829	Glutathione S-transferase U12 (AtGSTU12) (EC 2.5.1.18) (GST class-tau member 12);Glutathione S-transferase U13 (AtGSTU13) (EC 2.5.1.18) (GST class-tau member 13) (Glutathione S-transferase 12);Glutathione S-transferase U14 (AtGSTU14) (EC 2.5.1.18) (GST class-tau member 14) (Glutathione S-transferase 13)
XP_013593775.1	658	AT3G51895.2	AT3G51895.2	orthologue	GO:0009507;GO:0005886;GO:0008271;GO:1902358;GO:0005737;GO:0015116;GO:0015293;GO:0016020;GO:0055085	Sulfate transporter 3.1 (AST12) (AtST1);Sulfate transporter 31
